序号,学校名称,省市,数据源名称,地区,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
518,江西省鄱阳县第一中学,江西,衡阳县第一中学（衡阳县一中）,湖南省 衡阳市 衡阳县,省重点,公办,中学,湖南省衡阳市衡东县向阳路,0734—5222381,湖南省,衡阳市,衡阳县
519,江西省万年中学,江西,上饶市万年中学,江西省 上饶市 万年县,普通,公办,中学,江西省上饶市万年县陈营镇六〇南路43号,0793-3838169,江西省,上饶市,万年县
520,景德镇二中,江西,,,,,,,,,,
521,新干中学,江西,吉安市新干中学,江西省 吉安市 新干县,省重点,公办,中学,江西省吉安市新干县塘头街胜利路30号,0796-2682054,江西省,吉安市,新干县
522,大连市第八中学,辽宁,大连市第八中学,辽宁省 大连市 沙河口区,省重点,公办,中学,大连市沙河口区抚顺街永明巷12号,0411-84643343,辽宁省,大连市,沙河口区
523,大连市第一中学,辽宁,大连市第一中学（大连一中）,辽宁省 大连市 西岗区,省重点,公办,中学,辽宁省大连市西岗区北京街71号,（0411）82640963,辽宁省,大连市,西岗区
524,包头一中,内蒙古,包头市第一中学（包头一中）,内蒙古 包头市 东河区,市重点,公办,中学,内蒙古包头市东河区环城路37号,0472-4143088,内蒙古,包头市,东河区
525,北师大集宁附中,内蒙古,,,,,,,,,,
526,赤峰红旗中学,内蒙古,,,,,,,,,,
527,赤峰林东一中,内蒙古,,,,,,,,,,
528,赤峰平煤高中,内蒙古,,,,,,,,,,
529,乌海一中,内蒙古,,,,,,,,,,
530,固原一中,宁夏,宁夏固原市第一中学（宁夏固原一中）,宁夏 固原市,市重点,公办,中学,宁夏固原市文化街8号,0954-7285516,宁夏,固原市,
531,西吉中学,宁夏,,,,,,,,,,
532,大通二中,青海,,,,,,,,,,
533,格尔木市第一中学,青海,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
534,青海省西宁市第二中学,青海,北京市第二中学（北京二中）,北京市 东城区,市重点,公办,中学,北京市东城区内务部街15号,010-65274375,北京市,北京市,东城区
535,德州市陵城区第一中学,山东,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
536,德州市齐河县第一中学,山东,济南齐河县第一中学（齐河一中）,山东省 德州市 齐河县,市重点,公办,中学,山东省德州市齐河县城齐心大街西段,0534-5652502,山东省,德州市,齐河县
537,肥城市第一高级中学,山东,日喀则地区第一高级中学（日喀则一高）,西藏 日喀则地区,市重点,公办,中学,西藏自治区日喀则地区山东路23号,0892-8822415,西藏,日喀则地区,
538,胶州市实验中学,山东,青岛胶州市实验中学,山东省 青岛市 胶州市,市重点,公办,中学,青岛市胶州市福州北路15号,0532-87214015,山东省,青岛市,胶州市
539,临清市第一中学,山东,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
540,青岛大学附属中学,山东,青岛大学附属中学（青大附中）,山东省 青岛市 市南区,市重点,民办,中学,山东省青岛市市南区逍遥三路4号,0532-68898155,山东省,青岛市,市南区
541,山大华特卧龙学校,山东,山大华特卧龙学校,山东省 临沂市,普通,公办,中学,山东省沂南县城澳柯玛大道中段,0539-3862188,山东省,临沂市,
542,山东省昌乐第一中学,山东,昌乐第一中学高中部（昌乐一中高中部）,山东省 潍坊市 昌乐县,省重点,公办,中学,山东省潍坊市县城永康路1358号,0536-6297407,山东省,潍坊市,昌乐县
543,山东省莱西市实验学校,山东,上海实验学校,上海市 浦东新区,市重点,公办,中学,上海市浦东新区东明路300号,021-50866819,上海市,上海市,浦东新区
544,山东省平度第一中学,山东,平度一中,山东省 青岛市 平度市,普通,公办,中学,山东省青岛市平度市天津路101号,0532-88392068,山东省,青岛市,平度市
545,山东省五莲县第一中学,山东,山东省五莲县第一中学（五莲一中）,山东省 日照市,县重点,公办,中学,山东省五莲县县城育才路18号,0633—5213084,山东省,日照市,
546,山东省诸城繁华中学,山东,诸城繁华中学（高中部）,山东省 潍坊市 诸城市,市重点,公办,中学,山东省潍坊市诸城市人民东路105号,0536-6051007,山东省,潍坊市,诸城市
547,泰安市东平高级中学,山东,,,,,,,,,,
548,泰安英雄山中学,山东,,,,,,,,,,
549,滕州一中新校,山东,,,,,,,,,,
550,威海市第一中学,山东,威海市第一中学（威海一中）,山东省 威海市 环翠区,省重点,公办,中学,山东省威海市环翠区高技区文化中路75号,0631-5819545,山东省,威海市,环翠区
551,榆次一中,山西,山西省榆次第一中学（榆次一中）,山西省 晋中市 榆次区,省重点,公办,中学,山西省榆次（一中）,0354-2032714,山西省,晋中市,榆次区
552,汉中市龙岗学校,陕西,汉中龙岗学校,陕西省 汉中市 南郑县,普通,民办,中学,陕西省汉中市大河坎龙岗东路,0916-5370099,陕西省,汉中市,南郑县
553,上海市大同中学,上海,上海市大同中学,上海市 黄浦区,市重点,公办,中学,上海市黄浦区南车站路353号,021-63770973 021-63162590,上海市,上海市,黄浦区
554,三台中学实验学校,四川,,,,,,,,,,
555,宝坻区第四中学,天津,天津市宝坻区第四中学,天津市 宝坻区,普通,公办,中学,天津市宝坻区进京路30号,022-29241206,天津市,天津市,宝坻区
556,拉萨江苏实验中学,西藏,,,,,,,,,,
557,拉萨市四高,西藏,,,,,,,,,,
558,乌鲁木齐市第七十中学,新疆,乌鲁木齐第七十中学,新疆 乌鲁木齐市 新市区,省重点,公办,中学,新疆乌鲁木齐新市区南纬一路54号,（0991）3696357,新疆,乌鲁木齐市,新市区
559,昆明市第十中学,云南,昆明十中（初中）,云南省 昆明市 盘龙区,省重点,民办,中学,云南省昆明市 白塔路247号,（0871）3067002,云南省,昆明市,盘龙区
560,云南省楚雄第一中学,云南,楚雄市第一中学（楚雄一中）,云南省 楚雄 楚雄市,县重点,公办,中学,云南省楚雄市鹿城南路291号邮政编码：675000e-mail：cxyz,,云南省,楚雄,楚雄市
561,杭州外国语学校,浙江,,,,,,,,,,
562,宁波市鄞州中学,浙江,宁波市鄞州中学,浙江省 宁波市 鄞州区,省重点,公办,中学,宁波市鄞州区邱隘盛垫桥,0547-88357420 28819027,浙江省,宁波市,鄞州区
563,宁波中学,浙江,宁波中学,浙江省 宁波市 鄞州区,省重点,公办,中学,浙江省宁波市高教园区学府路 61 号,0574-88126666 88126668,浙江省,宁波市,鄞州区
564,衢州市实验学校,浙江,上海实验学校,上海市 浦东新区,市重点,公办,中学,上海市浦东新区东明路300号,021-50866819,上海市,上海市,浦东新区
565,绍兴鲁迅中学,浙江,绍兴鲁迅中学,浙江省 绍兴市,省重点,公办,中学,浙江省绍兴市柯桥区湖东路1号,0575-81169016,浙江省,绍兴市,
566,绍兴市第一初级中学教育集团龙山校区,浙江,,,,,,,,,,
567,余姚市子陵中学教育集团,浙江,余姚市子陵中学,浙江省 宁波市 余姚市,普通,公办,中学,浙江余姚金昌路,0574-62660048,浙江省,宁波市,余姚市
568,浙江省东阳中学,浙江,浙江东阳中学,浙江省 金华市 东阳市,普通,公办,中学,浙江省金华市东阳市学士北路1号,0579-86660006,浙江省,金华市,东阳市
569,安徽省滁州中学,安徽,滁州中学,安徽省 滁州市 南谯区,省重点,公办,中学,南谯区同乐西路99号,0550-3305059,安徽省,滁州市,南谯区
570,安徽省怀远第一中学,安徽,安徽省怀远县第一中学（怀远一中）,安徽省 淮南市,县重点,公办,中学,怀远县城关镇乳泉,0552－8050649,安徽省,淮南市,
571,安徽省六安第一中学,安徽,安徽省六安第一中学（六安一中）,安徽省 六安市 裕安区,省重点,公办,中学,安徽省六安市解放北路55号,0564-3387519,安徽省,六安市,裕安区
572,安徽省马鞍山市花园初级中学,安徽,,,,,,,,,,
573,安徽省全椒中学,安徽,滁州全椒中学,安徽省 滁州市 全椒县,普通,公办,中学,滁州市全椒县内环南路与南三路交叉,,安徽省,滁州市,全椒县
574,安徽省寿县第一中学,安徽,寿县一中,安徽省 淮南市 寿县,省重点,公办,中学,安徽省淮南市寿县楚都大道与状元路交叉路口,0554-2766208,安徽省,淮南市,寿县
575,安徽省铜陵市第十中学,安徽,安徽省铜陵市第十中学,安徽省 铜陵市,市重点,公办,中学,长江西路106号,0562-2832944 丁震,安徽省,铜陵市,
576,安徽省无为第三中学,安徽,,,,,,,,,,
577,安徽省无为中学,安徽,安徽无为中学,安徽省 芜湖市,普通,公办,中学,安徽省芜湖市无为市无城西大街104号,,安徽省,芜湖市,
578,安徽省歙县中学,安徽,安徽省歙县中学,安徽省 合肥市,普通,公办,中学,黄山市歙县城东路58号,0559-6534505,安徽省,合肥市,
579,安庆市桐城中学,安徽,安徽桐城中学,安徽省 安庆市 桐城市,省重点,公办,中学,安徽省桐城市公园路10号,0556-6121503,安徽省,安庆市,桐城市
580,蚌埠新城实验学校,安徽,蚌埠新城实验学校中学部,安徽省 蚌埠市 蚌山区,普通,公办,中学,蚌埠市蚌山区航苑路200号,,安徽省,蚌埠市,蚌山区
581,亳州市第一中学,安徽,亳州一中,安徽省 亳州市,省重点,公办,中学,亳州市谯城区新华北路22号,,安徽省,亳州市,
582,巢湖市第二中学,安徽,北京市第二中学（北京二中）,北京市 东城区,市重点,公办,中学,北京市东城区内务部街15号,010-65274375,北京市,北京市,东城区
583,滁州市新航高中,安徽,,,,,,,,,,
584,东至县第二中学,安徽,北京市第二中学（北京二中）,北京市 东城区,市重点,公办,中学,北京市东城区内务部街15号,010-65274375,北京市,北京市,东城区
585,阜阳市成效中学,安徽,,,,,,,,,,
586,合肥市第五十中学东校,安徽,合肥五十中（合肥50中）,安徽省 合肥市 蜀山区,省重点,公办,中学,安徽省合肥市蜀山区肥西路65号,0551-5113487,安徽省,合肥市,蜀山区
587,马鞍山市成功学校,安徽,马鞍山成功学校,安徽省 马鞍山市,省重点,民办,中学,安徽省马鞍山市车站路18号,0555-2400797,安徽省,马鞍山市,
588,马鞍山市第七中学,安徽,杭州市第七中学（杭州七中）,浙江省 杭州市 上城区,省重点,公办,中学,杭州市上城区解放路50号,85451987（校长室）  85452036（教务处）,浙江省,杭州市,上城区
589,马鞍山市含山中学,安徽,,,,,,,,,,
590,宁国中学,安徽,,,,,,,,,,
591,濠江中学,澳门,,,,,,,,,,
592,劳工子弟学校,澳门,,,,,,,,,,
593,培道中学,澳门,,,,,,,,,,
594,聖保祿學校,澳门,,,,,,,,,,
595,北京交通大学附属中学,北京,,,,,,,,,,
596,北京市朝阳外国语学校,北京,北京市朝阳外国语学校（朝外）,北京市 朝阳区,区重点,民办,中学,北京市朝阳区亚运村慧忠北里203号 （高中部）北京市朝阳区亚运村慧忠里232号（初中部）慧忠里206（小学部）,010-64885151,北京市,北京市,朝阳区
597,北京市第九中学,北京,北京市第九中学（北京九中）,北京市 石景山区,区重点,公办,中学,北京市石景山区模式口大街16号,010-88753160,北京市,北京市,石景山区
598,北京市第十九中学,北京,北京市第十九中学,北京市 海淀区,区重点,公办,中学,北京市海淀区万泉河路83号,010-82518546,北京市,北京市,海淀区
599,北京市第一七一中学,北京,北京市一七一中学,北京市 东城区,普通,公办,中学,北京市东城区和平里北街8号,010-64279121,北京市,北京市,东城区
600,北京市鼎石学校,北京,,,,,,,,,,
601,北京市一五九中学,北京,北京市第一五九中学（159中）,北京市 西城区,区重点,公办,中学,北京市西城区王府仓胡同23号,010-66039705,北京市,北京市,西城区
602,福鼎一中,福建,福建省福鼎一中,福建省 宁德市 福鼎市,省重点,公办,中学,福建省福州市福鼎城关西园路101号,0769-7852102,福建省,宁德市,福鼎市
603,福建省福安市第一中学,福建,福安一中,福建省 宁德市 福安市,市重点,公办,中学,高中部福建省福安市溪北洋新区学园路1号,0593-6382128,福建省,宁德市,福安市
604,福建省福州第二中学,福建,,,,,,,,,,
605,福建省福州第十九中学,福建,福州第十九中学,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州庆城路16号,（0591）87553685,福建省,福州市,鼓楼区
606,福建省南安国光中学,福建,,,,,,,,,,
607,福建省南平第一中学,福建,南平一中,福建省 南平市 延平区,省重点,公办,中学,福建省南平市紫云岗24号,0599－8853660/8849859,福建省,南平市,延平区
608,福建省厦门第二中学,福建,厦门市第二中学（厦门二中）,福建省 厦门市 思明区,省重点,公办,中学,福建省厦门市鼓浪屿安海路14号,0592-2063730,福建省,厦门市,思明区
609,福建省厦门第六中学,福建,厦门六中学,福建省 厦门市 思明区,省重点,公办,中学,厦禾路344号,0592-2022678,福建省,厦门市,思明区
610,福建省长乐市航城中学,福建,,,,,,,,,,
611,福建霞浦县第一中学,福建,霞浦县第一中学（霞浦一中）,福建省 宁德市 霞浦县,普通,公办,中学,福建省霞浦县松城镇六一七路361号　邮编:355100,,福建省,宁德市,霞浦县
612,福清第一中学,福建,福建省福清第一中学（福清一中）,福建省 福州市 福清市,省重点,公办,中学,福州市福清市融城较场路55号,0591—85222581.,福建省,福州市,福清市
613,福州第八中学,福建,福州市第八中学（福州八中）,福建省 福州市 台江区,省重点,公办,中学,福建省福州市八一七中路707号,（0591）83277032,福建省,福州市,台江区
614,福州华伦中学,福建,,,,,,,,,,
615,古田一中,福建,古田一中,福建省 宁德市 古田县,普通,公办,中学,福建省宁德市古田县新城镇614路456号邮编：352200,0593-3882580,福建省,宁德市,古田县
616,晋江养正中学,福建,,,,,,,,,,
617,莆田第四中学,福建,莆田第四中学,福建省 莆田市 荔城区,普通,公办,中学,荔城区拱辰办南郊村,0594-2381592,福建省,莆田市,荔城区
618,泉州市惠安广海中学,福建,福建惠安广海中学,福建省 泉州市 惠安县,区重点,私立,中学,福建惠安螺城惠泉南路,0595-87322801,福建省,泉州市,惠安县
619,厦门实验中学,福建,厦门实验中学,福建省 厦门市 同安区,普通,公办,中学,厦门滨海西大道6666号,0592-7208266,福建省,厦门市,同安区
620,厦门英才学校中学部,福建,厦门英才学校,福建省 厦门市 集美区,普通,私立,中学,厦门市杏林北三路63号,,福建省,厦门市,集美区
621,石狮石光中学,福建,,,,,,,,,,
622,同安一中,福建,厦门市同安一中,福建省 厦门市 同安区,省重点,公办,中学,福建省厦门市同安区轮山路1号,0592-7229135,福建省,厦门市,同安区
623,永春一中,福建,永春第一中学（永春一中）,福建省 泉州市 永春县,县重点,公办,中学,福建省泉州市永春县,,福建省,泉州市,永春县
624,永定一中,福建,永定第一中学（永定一中）,福建省 龙岩市 永定县,市重点,公办,中学,福建省龙岩市凤凰山麓,,福建省,龙岩市,永定县
625,定西市第一中学,甘肃,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
626,甘谷一中,甘肃,,,,,,,,,,
627,酒泉中学,甘肃,甘肃省酒泉中学,甘肃省 酒泉市 肃州区,省重点,公办,中学,甘肃省酒泉市肃州区西大街9号&n,0937-2614856 管理员邮箱：chengchr@sina.com 址：甘肃省酒泉市肃州区西大,甘肃省,酒泉市,肃州区
628,兰州三十五中,甘肃,,,,,,,,,,
629,兰州市第六十一中学,甘肃,天津市第六十一中学,天津市 和平区,,公办,中学,和平区湖南路16号,022-23396243,天津市,天津市,和平区
630,兰州市第三十三中学,甘肃,兰州大学附属中学（兰州市第三十三中学）,甘肃省 兰州市 城关区,省重点,公办,中学,甘肃省兰州市城关区一只船南街2号,0931-8846809,甘肃省,兰州市,城关区
631,兰州市第五十八中,甘肃,兰州市第五十八中学（兰炼一中）,甘肃省 兰州市 西固区,省重点,公办,中学,甘肃省兰州市福利东路212号,0931-7557011,甘肃省,兰州市,西固区
632,民勤县第一中学,甘肃,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
633,宁县二中,甘肃,江西省武宁县二中,江西省 九江市 武宁县,普通,公办,中学,江西省九江市武宁县竹岭六区,0792-2781234,江西省,九江市,武宁县
634,张掖市第二中学,甘肃,北京市第二中学（北京二中）,北京市 东城区,市重点,公办,中学,北京市东城区内务部街15号,010-65274375,北京市,北京市,东城区
635,镇原中学,甘肃,,,,,,,,,,
636,东莞市东莞外国语学校,广东,东莞外国语学校,广东省 东莞市 寮步镇,普通,公办,中学,东莞市寮步横坑横塘路2号,0769-83301472,广东省,东莞市,寮步镇
637,广州市第三中学,广东,广州市第三中学,广东省 广州市 越秀区,省重点,公办,中学,广东省广州市越秀区大新路163号,020-83336692,广东省,广州市,越秀区
638,广州市广外附设外语学校,广东,广州市广外附设外语学校,广东省 广州市 白云区,普通,民办,中学,广州市白云区广花一路599号,020-36246518,广东省,广州市,白云区
639,揭阳第一中学,广东,揭阳市第一中学（揭阳一中）,广东省 揭阳市 榕城区,省重点,公办,中学,广东省揭阳市东山区玉浦南路东,0663-873315,广东省,揭阳市,榕城区
640,汕头市金园实验中学,广东,汕头市金园实验中学,广东省 汕头市 金平区,普通,民办,中学,广东省汕头市龙眼路16号,0754-88527832,广东省,汕头市,金平区
641,汕头市龙湖实验中学,广东,汕头市龙湖实验中学,广东省 汕头市 龙湖区,普通,民办,中学,广东省汕头市龙湖区23街区锦龙路,0754-88787020/88787022,广东省,汕头市,龙湖区
642,珠海市第二中学,广东,珠海市第二中学,广东省 珠海市 香洲区,省重点,公办,中学,广东珠海市香洲人民东路65号,（0756）2227792,广东省,珠海市,香洲区
643,桂林市第十八中学,广西,桂林市第十八中学,广西 柳州市,省重点,公办,中学,广西桂林市横塘路17号,0773-5865365,广西,柳州市,
644,桂林中学,广西,桂林市桂林中学,广西 桂林市,省重点,公办,中学,解放西路58号,0773--2825101,广西,桂林市,
645,柳州市第十五中学,广西,青岛市第十五中学,山东省 青岛市 市北区,省重点,公办,中学,山东省青岛市登州路22号乙,0532-82722107,山东省,青岛市,市北区
646,北京师范大学贵阳附属中学,贵州,,,,,,,,,,
647,毕节清华国中,贵州,,,,,,,,,,
648,岑巩一中,贵州,,,,,,,,,,
649,贵阳乐湾国际实验学校,贵州,,,,,,,,,,
650,贵阳市清华中学,贵州,贵阳市清华中学,贵州省 贵阳市 花溪区,省重点,公办,中学,贵阳市花溪区清华路30号,0851-3851955,贵州省,贵阳市,花溪区
651,贵州省贵定县贵定中学,贵州,,,,,,,,,,
652,贵州省黎平县第一民族中学,贵州,,,,,,,,,,
653,贵州省瓮安中学,贵州,,,,,,,,,,
654,剑河民族中学,贵州,,,,,,,,,,
655,金沙县第一中学,贵州,福建省沙县一中,福建省 三明市,普通,公办,中学,福建省三明市沙县城关文庙路５５号,0958-5699552,福建省,三明市,
656,黔南布依族苗族自治州都匀第二中学,贵州,,,,,,,,,,
657,清镇市第一中学,贵州,贵州清镇市第一中学（清镇一中）,贵州省 贵阳市 清镇市,县重点,公办,中学,清镇市前进路303号,0851-2521228,贵州省,贵阳市,清镇市
658,仁怀一中,贵州,,,,,,,,,,
659,思南中学,贵州,贵州省思南中学,贵州省 铜仁地区 思南县,省重点,公办,中学,贵州省思南县思唐镇文化街197号,0856-7225114,贵州省,铜仁地区,思南县
660,习水县第五中学,贵州,北京市第五中学（北京五中）,北京市 东城区,市重点,公办,中学,北京市东城区细管胡同13号,010-64042971/64040729,北京市,北京市,东城区
661,正安县第一中学,贵州,遵义正安一中,贵州省 遵义市 正安县,普通,公办,中学,贵州省遵义市正安县文化北路东100米,,贵州省,遵义市,正安县
662,海南农垦中学,海南,,,,,,,,,,
663,海南省国兴中学,海南,海南省国兴中学,海南省 海口市,省重点,公办,中学,海南省府城镇海口城南路,0898－65904730,海南省,海口市,
664,华中师大一附中屯昌思源实验中学,海南,,,,,,,,,,
665,沧州市第一中学,河北,河北省沧州市第一中学（沧州一中）,河北省 沧州市,省重点,公办,中学,沧州市维明路16号,0317-3024846,河北省,沧州市,
666,精英中学,河北,石家庄精英中学,河北省 石家庄市 高新区,普通,私立,中学,河北省石家庄市高新区学苑路25号,0311-85318577/87318108,河北省,石家庄市,高新区
667,武安一中,河北,武安市第一中学（武安一中）,河北省 邯郸市,省重点,公办,中学,河北省武安市公园东街89号,0310--5652756 5653134,河北省,邯郸市,
668,张家口宣化一中,河北,,,,,,,,,,
669,河南省淮滨高圾中学,河南,,,,,,,,,,
670,濮阳市第一高级中学,河南,濮阳市第一高级中学（濮阳一中）（原濮阳三中）,河南省 濮阳市 华龙区,省重点,公办,中学,河南省濮阳市益民路西段,0393-8996706,河南省,濮阳市,华龙区
671,三门峡外国语高级中学,河南,,,,,,,,,,
672,睢县高级中学,河南,,,,,,,,,,
673,通许县实验中学,河南,山西省实验中学（太原市第十中学）,山西省 太原市 小店区,省重点,公办,中学,山西省太原市晋阳街201号,0351-7897022,山西省,太原市,小店区
674,淅川县一高,河南,,,,,,,,,,
675,夏邑县高级中学,河南,河南夏邑县高级中学,河南省 商丘市 夏邑县,省重点,公办,中学,商丘市夏邑县县府路东段127号,0370-6222811,河南省,商丘市,夏邑县
676,许昌市建安区第三高级中学,河南,南京市第三高级中学,江苏省 南京市 白下区,省重点,公办,中学,南京市白下区白下路117号,025-84506950  025-86642872,江苏省,南京市,白下区
677,柘城第二高级中学,河南,,,,,,,,,,
678,郑州市第一0一中学,河南,,,,,,,,,,
679,郑州市京广实验学校,河南,郑州京广实验学校,河南省 郑州市 二七区,普通,民办,中学,河南省郑州市京广北路86号,0371--66980959   86601563,河南省,郑州市,二七区
680,郑州市明新中学,河南,,,,,,,,,,
681,周口扶沟县高中,河南,,,,,,,,,,
682,阿城区第一中学,黑龙江,哈尔滨市阿城区第一中学（阿城一中）,黑龙江 哈尔滨市 阿城市,省重点,公办,中学,黑龙江省哈尔滨市阿城区延川大街1号,0451-53960666,黑龙江,哈尔滨市,阿城市
683,大庆外国语学校,黑龙江,,,,,,,,,,
684,富锦市第一中学,黑龙江,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
685,哈尔滨市第九中学校,黑龙江,哈尔滨市第九中学,黑龙江 哈尔滨市 香坊区,省重点,公办,中学,黑龙江省哈尔滨市香坊区和平路165号,0451-82801485,黑龙江,哈尔滨市,香坊区
686,哈尔滨市第一二二中学校,黑龙江,哈尔滨市第一二二中学,黑龙江 哈尔滨市 香坊区,市重点,公办,中学,黑龙江省哈尔滨市香坊区旭升街308号,0451-87951002,黑龙江,哈尔滨市,香坊区
687,哈尔滨顺迈学校,黑龙江,,,,,,,,,,
688,黑河市第一中学,黑龙江,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
689,牡丹江市第二高级中学,黑龙江,温州第二高级中学（温州二高）,浙江省 温州市,省重点,公办,中学,浙江省温州市黄龙住宅区盛锦路2号,0577-88751622 88773576,浙江省,温州市,
690,七台河市实验高级中学,黑龙江,中山市实验高级中学,广东省 中山市,省重点,公办,中学,广东省中山市东区东江路12号,76088331091,广东省,中山市,
691,肇源县第一中学,黑龙江,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
692,湖北11中,湖北,,,,,,,,,,
693,湖北省荆门市龙泉中学,湖北,荆门市龙泉中学,湖北省 荆门市,省重点,公办,中学,荆门市海慧路38号,0724-2304308,湖北省,荆门市,
694,湖北省实验中学,湖北,山西省实验中学（太原市第十中学）,山西省 太原市 小店区,省重点,公办,中学,山西省太原市晋阳街201号,0351-7897022,山西省,太原市,小店区
695,武汉市第六中学,湖北,武汉六中（本部金门路校区）,湖北省 武汉市 江岸区,省重点,公办,中学,武汉市江岸区球场路64号,027-82426932,湖北省,武汉市,江岸区
696,武汉市第三中学,湖北,武汉三中,湖北省 武汉市 汉阳区,省重点,公办,中学,武汉市汉阳区拦江路150号,027-84842546,湖北省,武汉市,汉阳区
697,仙桃第一中学,湖北,,,,,,,,,,
698,郴州市第一中学,湖南,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
699,衡阳市成章实验中学,湖南,衡阳市成章实验中学（衡阳市第八中学初中部）,湖南省 衡阳市,省重点,民办,中学,衡阳市雁峰区罗金桥6号即幼师隔壁,0734-8472778,湖南省,衡阳市,
700,湖南省常德芷兰实验学校,湖南,,,,,,,,,,
701,湖南省澧县第一中学,湖南,澧县一中,湖南省 常德市 澧　县,普通,公办,中学,湖南澧县梨园,0736－3242489 3242485,湖南省,常德市,澧　县
702,湖南师大第二附属中学,湖南,,,,,,,,,,
703,耒阳市二中,湖南,,,,,,,,,,
704,澧县澧阳中学,湖南,,,,,,,,,,
705,桃源县第一中学,湖南,桃源县第一中学（桃源一中）,湖南省 常德市 桃源县,省重点,公办,中学,湖南省桃源县漳江镇环城路天子岗,0736-6623233,湖南省,常德市,桃源县
706,湘西州民族中学,湖南,,,,,,,,,,
707,湘一芙蓉中学,湖南,长沙市湘一芙蓉中学,湖南省 长沙市 芙蓉区,区重点,公办,中学,湖南省长沙市芙蓉区五一大道502号,0731--89717118,湖南省,长沙市,芙蓉区
708,永州四中,湖南,永州四中,湖南省 永州市 冷水滩区,省重点,公办,中学,永州市冷水滩区西区路166号,,湖南省,永州市,冷水滩区
709,长沙市周南中学,湖南,长沙市周南中学,湖南省 长沙市 开福区,省重点,公办,中学,湖南省长沙市芙蓉北路开福区北正街291号,0731-4310894　4314336,湖南省,长沙市,开福区
710,白城一中,吉林,,,,,,,,,,
711,吉化第一高级中学校,吉林,吉化第一高级中学（吉化一中）,吉林省 吉林市 龙潭区,省重点,公办,中学,吉林省吉林市龙潭区武汉路25号,0432－63968098,吉林省,吉林市,龙潭区
712,吉林省第二实验学校,吉林,吉林省第二实验中学,吉林省 长春市 ,省重点,公办,中学,吉林省长春市人民大街6465号,0431-85382946 0431-85384408,吉林省,长春市,
713,集安市第一中学,吉林,福州市第一中学（福州一中）,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
714,蛟河市第一中学校,吉林,成都市新都第一中学校（新都一中）,四川省 成都市 新都区,省重点,公办,中学,四川省成都市新都区如意大道50号,（028）83975830 　83015181 15908146139,四川省,成都市,新都区
715,梅河口市第五中学,吉林,北京市第五中学（北京五中）,北京市 东城区,市重点,公办,中学,北京市东城区细管胡同13号,010-64042971/64040729,北京市,北京市,东城区
716,松原市实验高级中学,吉林,松原市实验高级中学,吉林省 松原市 宁江区,省重点,公办,中学,吉林省松原市宁江区长宁南街358号,0438—5082988,吉林省,松原市,宁江区
717,通化市第一中学校,吉林,成都市新都第一中学校（新都一中）,四川省 成都市 新都区,省重点,公办,中学,四川省成都市新都区如意大道50号,（028）83975830 　83015181 15908146139,四川省,成都市,新都区
718,长春市第二中学,吉林,长春市第二中学（长春二中）,吉林省 长春市 朝阳区,省重点,公办,中学,吉林省长春市朝阳区清和街38号,0431-88524768,吉林省,长春市,朝阳区
719,常州市第二中学,江苏,常州市第二中学,江苏省 常州市,省重点,公办,中学,江苏省常州市西横街28号,,江苏省,常州市,
720,常州市戚墅堰高级中学,江苏,,,,,,,,,,
721,常州市武进区湖塘实验中学,江苏,常州湖塘实验中学,江苏省 常州市,市重点,私立,中学,武进区定安东路18号,,江苏省,常州市,
722,常州市武进区前黄实验学校,江苏,常州武进区前黄实验学校,江苏省 常州市 武进区,普通,民办,中学,江苏省常州市武进区前黄镇新园路14号,（0519）68881503,江苏省,常州市,武进区
723,江苏省宝应中学,江苏,宝应中学,江苏省 扬州市 宝应县,省重点,公办,中学,江苏省扬州市宝应县白田南路1号,0514-88266789,江苏省,扬州市,宝应县
