中学名称,地区,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
三门峡机电职专,河南省,全国重点,公办,职业学校,三门峡市黄河路西段6号,0398-2894386,河南省,,
大连金田职业高中,辽宁省 大连市 甘井子区,全国重点,公办,职业学校,甘井子区华北路659号,0411-86446398,辽宁省,大连市,甘井子区
北京市皮革工业学校,北京市 海淀区,普通,公办,职业学校,北京市海淀区花园北路29号,010-62351532,北京市,北京市,海淀区
云南城市建设职业学院,云南省 昆明市 嵩明县,普通,民办,职业学校,云南省昆明市嵩明杨林职教园区,0871-5816078 5817078,云南省,昆明市,嵩明县
湖南连梅痕美容美发学校,湖南省 长沙市,全国重点,公办,职业学校,五一中路125号,0731-4447384,湖南省,长沙市,
洛阳市第一职业中等专业学校,河南省 洛阳市,普通,私立,职业学校,瀍河回族去南新安街46号,,河南省,洛阳市,
重庆市机械高级技工学校,重庆市 巴南区,全国重点,公办,职业学校,道角横石村７５号,023-62557142,重庆市,重庆市,巴南区
平度师范学校,山东省 青岛市 平度市,市重点,公办,职业学校,青岛市平度胜利路78号,0532-80812055,山东省,青岛市,平度市
贵州省畜牧兽医学校,贵州省 贵阳市,全国重点,公办,职业学校,贵阳市乌当区罗湾,0851-6224038 谢百练,贵州省,贵阳市,
兰州交通技工学校,甘肃省 兰州市,全国重点,公办,职业学校,兰州市工林路315号,0931-2757704,甘肃省,兰州市,
温州市机械职业学校,浙江省 温州市 乐清市,全国重点,公办,职业学校,乐清市乐成镇万岙,0577-62517531,浙江省,温州市,乐清市
珠海市第一中等职业学校,广东省 珠海市 香洲区,全国重点,公办,职业学校,珠海市香洲区香华路５１号,0756-2651300　,广东省,珠海市,香洲区
北京市洋桥职业学校,北京市 丰台区,全国重点,公办,职业学校,北京市丰台区西罗园四区29号楼,010-87252562,北京市,北京市,丰台区
四川弘博3＋2专业学校,四川省 成都市 双流区,省重点,公办,职业学校,成都市双流县九江街道双温路198号,18328389464,四川省,成都市,双流区
广西城市建设学校,广西 桂林市,全国重点,公办,职业学校,桂林市环城南二路121号,0773-3603581,广西,桂林市,
成都信息工程学院银杏酒店管理学院,四川省 成都市 郫都区,普通,公办,职业学校,红光广场路1116号,028-87979222,四川省,成都市,郫都区
铜陵职业技术学院,安徽省 铜陵市,全国重点,公办,职业学校,宝山路85号,0562-2110739,安徽省,铜陵市,
太原艺龙美术学校,山西省 太原市,全国重点,公办,职业学校,十三冶工会文化活动中心401号,0351-6602258 李老师,山西省,太原市,
兰州女子职业学校,甘肃省 兰州市,全国重点,公办,职业学校,兰州市城关区嘉峪关东路263号,0931-8644640,甘肃省,兰州市,
温州市职业中等专业学校,浙江省 温州市 ,普通,公办,职业学校,浙江省温州市惠民路,0577-88915361,浙江省,温州市,
洛阳市经济管理学校,河南省 洛阳市 西工区,普通,私立,职业学校,河南省洛阳市西工区春都路205号,,河南省,洛阳市,西工区
四川交通职业技术学院,四川省 成都市 温江区,普通,公办,职业学校,四川省成都市温江区柳台大道208号,028-82680064,四川省,成都市,温江区
沈阳辽美中等职业学校,辽宁省 沈阳市 铁西区,市重点,公办,职业学校,沈阳市铁西区经济开发区15号,13390100938,辽宁省,沈阳市,铁西区
湖北生态工程职业技术学院,湖北省 武汉市 江夏区,普通,公办,职业学校,湖北省武汉市江夏区纸坊大街110号,027-59728515,湖北省,武汉市,江夏区
潍坊技师学院,山东省 潍坊市,普通,私立,职业学校,潍坊市西环路99号,,山东省,潍坊市,
陕西航空医科职业技术学校,陕西省 西安市 未央区,普通,公办,职业学校,北郊未央区徐家湾北村,029-86616890,陕西省,西安市,未央区
广西桂平华强职业技术学校,广西 贵港市 桂平市,普通,公办,职业学校,广西桂平市桂贵路中段保险公司对面（桂平县）,0775-6931700 3389611 宾振庭,广西,贵港市,桂平市
中山市广东药学院,广东省 中山市,全国重点,公办,职业学校,中山市五桂山镇长命水大道9号,,广东省,中山市,
凯里市第一中等职业技术学校,贵州省,全国重点,公办,职业学校,凯里市学院路2号,0855—8363687 李群生,贵州省,,
深圳市行知职业技术学校,广东省 深圳市 罗湖区,市重点,公办,职业学校,深圳市罗湖区北斗路20号文华花园内,25129936,广东省,深圳市,罗湖区
长沙职业技术学院,湖南省 长沙市 岳麓区,全国重点,公办,职业学校,长沙市岳麓区正兴路157号,0731-88105420,湖南省,长沙市,岳麓区
山东青岛莱西市职业教育中心,山东省 青岛市 莱西市,全国重点,公办,职业学校,青岛路73号,0532-8487714,山东省,青岛市,莱西市
福建师范大学协和学院,福建省 福州市 闽侯县,普通,公办,职业学校,地&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;址：闽侯上街大学城学园南路 邮编:350108&nbsp;&nbsp;,电&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;话,福建省,福州市,闽侯县
西安外事技师学院,陕西省 西安市 雁塔区,普通,民办,职业学校,西安市富裕路中段西安外事学院,400-014-9991  029-88751179,陕西省,西安市,雁塔区
温州科技职业学校,浙江省 温州市 ,全国重点,公办,职业学校,温州市六虹桥路1000号,0577-88414670,浙江省,温州市,
汕头文化艺术学校汕头戏曲学校,广东省 汕头市,全国重点,公办,职业学校,中山路北二街4号,0754-8542643 8554579,广东省,汕头市,
广西烹饪学校,广西 桂林市,全国重点,公办,职业学校,广西桂林市九华路18号,0773-2693479,广西,桂林市,
洛阳新艺学校,河南省 洛阳市,普通,私立,职业学校,河南省洛阳市孟津机场西路9号,,河南省,洛阳市,
苏州大学城市轨道交通学院,江苏省 苏州市 平江区,普通,公办,职业学校,江苏省苏州市平江区干将东路178号,0512-67507649,江苏省,苏州市,平江区
深圳市宝安中嘉职校,广东省 深圳市 宝安区,市重点,公办,职业学校,沙井新二南岭路21号,15013627257,广东省,深圳市,宝安区
绵阳灵通技校,四川省 绵阳市,全国重点,公办,职业学校,跃进路52号,0816-2332364 晋老师、杨老师、王老师,四川省,绵阳市,
浙江省平阳县第二职业学校,浙江省 温州市 平阳县,普通,公办,职业学校,浙江省平阳县水头镇和钱仓镇　,,浙江省,温州市,平阳县
怀化市女子职业学校,湖南省 怀化市,全国重点,公办,职业学校,沿河西路128号,0745-2225899,湖南省,怀化市,
沈阳化工学院,辽宁省 沈阳市 铁西区,普通,公办,职业学校,沈阳经济开发区11号街,024-89388230,辽宁省,沈阳市,铁西区
厦门海洋职业技术学院,福建省 厦门市,普通,公办,职业学校,厦门市体育路61号,0592-5393508,福建省,厦门市,
江西省商务学校,江西省 南昌市 ,全国重点,公办,职业学校,江西省,,江西省,南昌市,
福建税务学校,福建省 莆田市 城厢区,全国重点,公办,职业学校,莆田市城厢区学园中街,0594—2385763,福建省,莆田市,城厢区
曾都区农经干校,湖北省 随州市 曾都区,普通,公办,职业学校,白云湖大堤中段 随州市曾都区农经干校,0722-3264282,湖北省,随州市,曾都区
石家庄香香姐小吃培训中心,河北省 石家庄市 新华区,县重点,民办,职业学校,河北石家庄中华北大街与北二环交叉口北行500米路西,15232141868,河北省,石家庄市,新华区
泉州市丰泽区职教中心,福建省 泉州市 丰泽区,全国重点,公办,职业学校,泉州火车站东侧,0595-22679089,福建省,泉州市,丰泽区
重庆光华女子职业中专校,重庆市 沙坪坝区,普通,公办,职业学校,重庆市沙坪坝区山洞路218号,023 66234772,重庆市,重庆市,沙坪坝区
金华职业技术学院,浙江省 金华市 ,省重点,公办,职业学校,浙江金华婺州街1188号,0579-82265012,浙江省,金华市,
河北省石家庄市轻工技工学校,河北省 石家庄市 桥西区,全国重点,公办,职业学校,河北省石家庄市桥西区自强路105号,0311-7027058,河北省,石家庄市,桥西区
青岛市广播电视大学胶南分校,山东省 青岛市 胶南市,市重点,公办,职业学校,胶南市珠海东路209号,0532-85165107,山东省,青岛市,胶南市
吴中职业中学,江苏省 苏州市 吴中区,全国重点,公办,职业学校,苏州市宝带东路附近,0512-65256564,江苏省,苏州市,吴中区
长江职业学院,湖北省 武汉市 武昌区,普通,公办,职业学校,武汉市武昌雄楚大街918号,,湖北省,武汉市,武昌区
广东省湛江财贸学校,广东省 湛江市,全国重点,公办,职业学校,麻章区育才路湛江财贸学校,0759-3306068,广东省,湛江市,
泉州市双十印刷商务技术学校,福建省 泉州市,普通,公办,职业学校,泉州市华侨大学对面（城东邮政局边）,0595-22676199,福建省,泉州市,
深圳市华强职业技术学校,广东省 深圳市 福田区,市重点,公办,职业学校,深圳市红荔西路景田南四街1号,,广东省,深圳市,福田区
云南国防技校,云南省 昆明市,全国重点,公办,职业学校,昆明市世博路八号,0871-5013380,云南省,昆明市,
武汉市新洲高级职业中学,湖北省 武汉市 新洲区,全国重点,公办,职业学校,武汉市新洲区汪集街荣生路8#,027-89875599,湖北省,武汉市,新洲区
平阳县职业中等专业学校,浙江省 温州市 平阳县,普通,私立,职业学校,平阳县昆阳镇皇岙村,,浙江省,温州市,平阳县
三明职业中专学校,福建省 三明市,全国重点,公办,职业学校,三明市富兴路126号,0598-8335706,福建省,三明市,
四川托普计算机职业学校,四川省 成都市 郫都区,普通,公办,职业学校,四川省成都市郫县红光西部软件园,028-82960064,四川省,成都市,郫都区
泉州凌霄职校,福建省 泉州市 鲤城区,全国重点,公办,职业学校,泉州市鲤城区江南亭店,0595-22482376,福建省,泉州市,鲤城区
辽师大职业中专,辽宁省 大连市 沙河口区,全国重点,公办,职业学校,沙河口区黄河路850号（辽宁师范大学南院内）,0411-84258353,辽宁省,大连市,沙河口区
市二轻中专学校,湖南省 湘潭市,全国重点,公办,职业学校,湘潭市南盘岭南,0732-2320582 彭艳秋,湖南省,湘潭市,
天津国土资源和房屋职业学院,天津市 大港区,普通,公办,职业学校,天津市大港区学苑路600号,022-63303817 022-63303848,天津市,天津市,大港区
南阳市体育运动学校,河南省 南阳市,全国重点,公办,职业学校,南阳市白河南华山路西巷,0377-3121745,河南省,南阳市,
太原市第一职业中学,山西省 太原市 尖草坪区,全国重点,公办,职业学校,尖草坪区阳曲镇108国道旁,0351-3940185,山西省,太原市,尖草坪区
青岛烹饪职业学校,山东省 青岛市 四方区,全国重点,公办,职业学校,青岛市四方区平安路24号丁（四方公安局旁）,0532-83715242,山东省,青岛市,四方区
杭州职达教育,浙江省 杭州市 余杭区,县重点,公办,职业学校,浙江省杭州市塘栖运溪路123号,18858175617,浙江省,杭州市,余杭区
南昌市第三职业中等专业学校,江西省 南昌市 南昌县,全国重点,公办,职业学校,南昌市青云普路,0791-5275305,江西省,南昌市,南昌县
厦门科技学院,福建省 厦门市 思明区,普通,公办,职业学校,福建省厦门思明南路394号,0592-2186916,福建省,厦门市,思明区
浙江信息工程学校,浙江省 湖州市 ,市重点,公办,职业学校,湖州市长兴路1299号,0572-2104953,浙江省,湖州市,
抚州创新科技学校（分部）,江西省 抚州市,普通,民办,职业学校,赣东大道149号,0794-8237609　 8806809,江西省,抚州市,
温州市华侨职业学校,浙江省 温州市 鹿城区,全国重点,公办,职业学校,温州市鹿城路111号华侨中学,0577-88518836,浙江省,温州市,鹿城区
常德职业技术学校,湖南省 常德市,全国重点,公办,职业学校,湖南省常德市老三叉路(原市公路局斜对面）,0736-7278780,湖南省,常德市,
重庆电子技师学院,重庆市 渝北区,全国重点,公办,职业学校,重庆市渝北龙溪金龙路600号,023-67630082,重庆市,重庆市,渝北区
河南省安阳卫生学校,河南省,全国重点,公办,职业学校,安阳市盘庚街67号,0372-2924084,河南省,,
西安交通大学医学院附设卫生学校,陕西省 西安市 未央区,普通,公办,职业学校,西安市小寨西路196号,029-5219489,陕西省,西安市,未央区
阜阳市第一高级职业中学,安徽省 阜阳市 ,市重点,公办,职业学校,安徽阜阳临泉路217号,0558-2263873,安徽省,阜阳市,
贵州电力职业技术学院,贵州省 贵阳市 清镇市,普通,公办,职业学校,贵州省贵阳市红枫湖,0851-551417,贵州省,贵阳市,清镇市
重庆财经职业学院,重庆市 永川区,普通,公办,职业学校,重庆市永川区昌州大道西段2号,023-49834496,重庆市,重庆市,永川区
宝鸡化工技校,陕西省 宝鸡市,全国重点,公办,职业学校,陕西省政府新城大院,029-87297054,陕西省,宝鸡市,
昆明市官渡区第二职业中学,云南省 昆明市 官渡区,全国重点,公办,职业学校,昆明市大石坝,（0871）7173140,云南省,昆明市,官渡区
榆林财贸学校,陕西省 榆林市,普通,公办,职业学校,陕西省榆林市钟楼山,0912—3238158,陕西省,榆林市,
温州职业中专学校,浙江省 温州市 鹿城区,全国重点,公办,职业学校,温州市鹿城区惠民路,0577-88915361,浙江省,温州市,鹿城区
郑州市交通技师学院,河南省 郑州市 惠济区,全国重点,公办,职业学校,河南省郑州市市辖区,,河南省,郑州市,惠济区
石家庄工业信息中等专业学校,河北省 石家庄市 裕华区,市重点,民办,职业学校,天山南大街与工农路交叉口西南,13303214423,河北省,石家庄市,裕华区
四川省轻工工程学校,四川省 自贡市,全国重点,公办,职业学校,大安寨,0813-5102246 向老师，刘老师，张老师,四川省,自贡市,
南阳电力技工学校,河南省 南阳市,全国重点,公办,职业学校,河南省南阳市光武路240号,0377—3807226,河南省,南阳市,
南京市聋人高级中学,江苏省 南京市 白下区,普通,公办,职业学校,南京市白下区御道街32号,025-84594413,江苏省,南京市,白下区
赣州华坚科技学校,江西省 赣州市 章贡区,县重点,民办,职业学校,江西省赣州市章贡区迎宾大道26号,13707020552,江西省,赣州市,章贡区
永嘉县职业中学,浙江省 温州市 永嘉县,全国重点,公办,职业学校,温州市永嘉县繁华路,0577-67260518,浙江省,温州市,永嘉县
西安翻译学院,陕西省 西安市 长安区,普通,公办,职业学校,陕西省西安市长安区太乙宫镇西安翻译学院,029-5893858,陕西省,西安市,长安区
山东省临沂第一职业中专,山东省 临沂市,全国重点,公办,职业学校,兰山区红旗路195号,0539-8350254,山东省,临沂市,
威海新东方电脑职业培训学校,山东省 威海市,全国重点,公办,职业学校,和平路120号,0631-3681398,山东省,威海市,
温州艺术职业学校,浙江省 温州市 ,全国重点,公办,职业学校,温州市上陡门住宅区七组团,0577-88322268 0577-883378,浙江省,温州市,
杭州市第四机械技工学校,浙江省 杭州市 下城区,普通,公办,职业学校,石桥路377号杭州汽轮机厂内,0571-85780044,浙江省,杭州市,下城区
福建省黎明卫生学校,福建省 福州市,全国重点,公办,职业学校,鼓楼区斗池路62号,0591-7532795,福建省,福州市,
山东信息职业技术学院,山东省 潍坊市,全国重点,私立,职业学校,山东潍坊市东风东街7494号,5362931600,山东省,潍坊市,
福州财政金融职业中专学校,福建省 福州市 ,全国重点,公办,职业学校,福州市台江区江滨西大道357号,,福建省,福州市,
四川师范大学东校区,四川省 成都市 龙泉驿区,省重点,公办,职业学校,详询徐老师,13980517677,四川省,成都市,龙泉驿区
福建省福州建筑工程职业中专学校,福建省 福州市 仓山区,全国重点,公办,职业学校,福州市仓山科技园双湖路9号,（0591）83469212,福建省,福州市,仓山区
重庆农业学校,重庆市 九龙坡区,市重点,公办,职业学校,重庆市九龙坡区石桥铺地铁站1号出口旁,15683088114,重庆市,重庆市,九龙坡区
福州商贸职业中专学校,福建省 福州市 鼓楼区,全国重点,公办,职业学校,福州鼓楼区西洪路坊下21号,086）0591-83793971,福建省,福州市,鼓楼区
大洼县职业技术教育中心,辽宁省 盘锦市,全国重点,公办,职业学校,大洼县大洼镇,0427-6856438,辽宁省,盘锦市,
宁波市交通技工学校,浙江省 宁波市 海曙区,全国重点,公办,职业学校,宁波市雅戈尔大道,0574-87081288,浙江省,宁波市,海曙区
安徽明星科技中专学校,安徽省 合肥市 庐阳区,全国重点,公办,职业学校,安徽合肥市庐阳区四里河明星路1号,0551-5147802,安徽省,合肥市,庐阳区
萧山区技工学校,浙江省 杭州市 萧山区,普通,公办,职业学校,杭州市萧山区通惠南路448号,0571 82670935,浙江省,杭州市,萧山区
瑞安市职业中等专业学校,浙江省 温州市 瑞安市,全国重点,公办,职业学校,浙江省瑞安市体育东路1号,0577-65634634,浙江省,温州市,瑞安市
河北省张家口经贸学校,河北省 张家口市,全国重点,公办,职业学校,张家口市高新区飞机场北,0313-5910827 宋老师、　胡老师、　任老师、　许老师,河北省,张家口市,
江宁职教中心,江苏省 南京市 江宁区,全国重点,公办,职业学校,江宁区竹山路88号,025-52130808,江苏省,南京市,江宁区
江西建设职业技术学院（中专部）,江西省 南昌市,全国重点,公办,职业学校,庐山南大道1659号,0791-7120555,江西省,南昌市,
四川轻工工程学校,四川省 成都市 郫都区,普通,公办,职业学校,德源镇稻香路38号,13881972338,四川省,成都市,郫都区
长春市体育运动学校,吉林省 长春市,全国重点,公办,职业学校,长春市亚泰大街19号,0431-5888771,吉林省,长春市,
湖南省邵阳市环球美容美发中等职业技术学校,湖南省 邵阳市,全国重点,公办,职业学校,东大路64号,0739-5221367,湖南省,邵阳市,
徐州医药中等专业学校,江苏省 徐州市 云龙区,普通,私立,职业学校,江苏省铜山县铜山镇学苑村,,江苏省,徐州市,云龙区
江门市总工会职业高级中学,广东省 江门市,全国重点,公办,职业学校,江门市紫茶路39号,0750-3347524,广东省,江门市,
山东省菏泽信息工程学校,山东省,全国重点,公办,职业学校,菏泽市西安路160号,0530-5622809,山东省,,
郴州科龙职业技术学校,湖南省 郴州市,全国重点,公办,职业学校,郴州市人民西路36号（湘昆剧团院内）,0735-2242508,湖南省,郴州市,
济南历城职业中专,山东省 济南市 历城区,全国重点,公办,职业学校,历城区郭店镇政府驻地，乘10路公交车镇政府下车即到,0531-8991573,山东省,济南市,历城区
江苏省常州医药技工学校,江苏省 常州市,全国重点,公办,职业学校,常州市采菱路2-2号,0519-8814134,江苏省,常州市,
重庆合川市行知职中,重庆市 合川区,全国重点,公办,职业学校,合川市南津街,023-42756124,重庆市,重庆市,合川区
河北保定世纪宏光计算机学校,河北省 保定市 新市区,全国重点,公办,职业学校,中国 河北省 保定市高新技术开发区（朝阳北大街创业路）火炬软件园西行200米,0312-3187288,河北省,保定市,新市区
昆明科技商务学校,云南省 昆明市,全国重点,公办,职业学校,昆明东郊白沙河休闲公园旁,0871-3806085,云南省,昆明市,
兵团建工师技工学校,新疆 乌鲁木齐市,全国重点,公办,职业学校,河滩北路57号,0991-7763224,新疆,乌鲁木齐市,
福建（福清）私立龙翔学校,福建省 福州市,全国重点,公办,职业学校,福清市镜洋镇甘厝口,0591-5313999,福建省,福州市,
哈尔滨电站集团高级技工学校,黑龙江 哈尔滨市 香坊区,普通,公办,职业学校,三角二道街1号,0451 55699770,黑龙江,哈尔滨市,香坊区
长沙铁航职业中等技术学校,湖南省 长沙市,县重点,民办,职业学校,湖南省长沙市长沙经济开发区漓湘东路2号,18684996722,湖南省,长沙市,
山东协和职业技术学院,山东省 济南市 历城区,全国重点,公办,职业学校,济南市高新技术开发区（历城区）华信路 8 号,0531-88663518,山东省,济南市,历城区
南昌第二职业中学,江西省 南昌市 南昌县,全国重点,公办,职业学校,南昌市兴隆巷112,,江西省,南昌市,南昌县
石家庄第一职业中学,河北省 石家庄市 桥西区,市重点,公办,职业学校,河北省石家庄市工农路3号,0311-87025619 0311-87022726,河北省,石家庄市,桥西区
哈尔滨航运学校,黑龙江 哈尔滨市 松北区,全国重点,公办,职业学校,哈尔滨市松北区广信街一号,0451-84091881 邹丽,黑龙江,哈尔滨市,松北区
湖南省湘潭烟草中专学校,湖南省 湘潭市,普通,公办,职业学校,三塘路31号,0732-8599215 胡润池,湖南省,湘潭市,
哈尔滨市第十八职业高中学校,黑龙江 哈尔滨市 平房区,普通,公办,职业学校,哈尔滨市平房区新疆大街342号,0451 89982175,黑龙江,哈尔滨市,平房区
荆州理工职业学院（原沙市大学）,湖北省 荆州市,普通,公办,职业学校,湖北省荆州市工农路22号,,湖北省,荆州市,
洛阳信息科技学校,河南省 洛阳市,普通,私立,职业学校,瀍河区华林路32号,,河南省,洛阳市,
重庆乡镇企业干部学校,重庆市 渝北区,全国重点,公办,职业学校,渝北区红锦支路68号,023-67501796,重庆市,重庆市,渝北区
辽宁博华职业技术学校,辽宁省 沈阳市 铁西区,全国重点,公办,职业学校,铁西区兴工街,024-25655667,辽宁省,沈阳市,铁西区
桂林师范高等专科学校,广西 桂林市 秀峰区,普通,公办,职业学校,广西壮族自治区桂林市秀峰区信义路21号,0773-28617462815165 地址：广西壮族自治区桂林市秀峰区信义路21号,广西,桂林市,秀峰区
苏州市纺织工业职工中等专业学校,江苏省 苏州市 吴中区,普通,公办,职业学校,苏州市苏苑街146,0525112-65255202,江苏省,苏州市,吴中区
天津市东丽区职业教育中心学校,天津市 东丽区,全国重点,公办,职业学校,津北公路13号,022－24892287,天津市,天津市,东丽区
山东省益都卫生学校,山东省 潍坊市,全国重点,公办,职业学校,山东省青州领巾是佛山路65号,0536-6225478,山东省,潍坊市,
郑州市商贸管理学校,河南省 郑州市 惠济区,全国重点,公办,职业学校,蓬莱市紫荆山路25号,0535-03714-4597545,河南省,郑州市,惠济区
绥化市北林区西长发镇农业技术高级中学校,黑龙江 绥化市 北林区,普通,公办,职业学校,北林区西长发镇内,15845556778,黑龙江,绥化市,北林区
浙江交通职业技术学院,浙江省 杭州市 余杭区,普通,公办,职业学校,莫干山路金家渡,0571-88481798,浙江省,杭州市,余杭区
太原星河艺术学校,山西省 太原市 杏花岭区,全国重点,公办,职业学校,杏花岭区大东关街160号甲（太原酒厂往东500米路北）,0351-4434266,山西省,太原市,杏花岭区
保定动力工程高级技工学校,河北省 保定市 北市区,市重点,公办,职业学校,保定市北市区天宁路289号,13231220507,河北省,保定市,北市区
即墨市第二职业中等专业学校,山东省 青岛市 即墨区,普通,公办,职业学校,山东省青岛市即墨市中山街,0532-88513600,山东省,青岛市,即墨区
龙岗职业技术学校专业（龙岗中专）,广东省 深圳市 龙岗区,市重点,公办,职业学校,深圳市龙岗区中心城清林中路,28924564,广东省,深圳市,龙岗区
安徽警官职业学院,安徽省 合肥市 蜀山区,普通,公办,职业学校,安徽省合肥市清溪路78号,0551-5316166,安徽省,合肥市,蜀山区
郑州师范高等专科学校,河南省 郑州市,普通,公办,职业学校,郑州北大学城英才街6号,0371-65501002,河南省,郑州市,
山东省青岛第二卫生学校,山东省 青岛市 市北区,全国重点,公办,职业学校,山东省胶州市北京路中段,0532-2210332 郭云清,山东省,青岛市,市北区
哈尔滨卫生学校,黑龙江 哈尔滨市 松北区,普通,公办,职业学校,哈尔滨市森林街30号,0451-84611044,黑龙江,哈尔滨市,松北区
银川市第一职业高级中学,宁夏 银川市,全国重点,公办,职业学校,银川市玉皇阁北街建材巷25号,0951-6710616,宁夏,银川市,
大连金融职业中专,辽宁省 大连市 沙河口区,全国重点,公办,职业学校,沙河口区联合路联兴巷4号,0411-84606084,辽宁省,大连市,沙河口区
杭州市萧山区第二中等职业学校,浙江省 杭州市 萧山区,全国重点,公办,职业学校,萧山区蜀山街道潘水路588号,0571-83869676 83869669,浙江省,杭州市,萧山区
大连市卫生学校,辽宁省 大连市,全国重点,公办,职业学校,大连经济技术开发区大连大学院内,0411-87402127,辽宁省,大连市,
无锡市房地产管理中专学校,江苏省 无锡市,全国重点,公办,职业学校,无锡市惠钱路49号,0510-8980330,江苏省,无锡市,
西安工业学院附小,陕西省 西安市 碑林区,普通,公办,职业学校,西安市伞塔路46号,029 83270849,陕西省,西安市,碑林区
澄西船厂技工学校,江苏省 无锡市 江阴市,全国重点,公办,职业学校,江阴市人民东路2号（长江饭店西侧）,0510-6286013,江苏省,无锡市,江阴市
甘肃省国防科技工业学校,甘肃省 兰州市,全国重点,公办,职业学校,兰州市天水路340号,0931-8660864,甘肃省,兰州市,
厦门商业学校,福建省 厦门市,全国重点,公办,职业学校,厦门市莲前路203号,0592-980493,福建省,厦门市,
湖南郴州综合职业中专学校,湖南省 郴州市,普通,公办,职业学校,郴州工业大道32号,0735-2835525,湖南省,郴州市,
太原广播电视中专,山西省 太原市,全国重点,公办,职业学校,山西省太原市文津巷10号,0351-2023409,山西省,太原市,
内蒙古丰州职业学院中山学院,内蒙古 呼和浩特市 赛罕区,全国重点,公办,职业学校,内蒙古呼和浩特高职园区赛罕区新建东街335号内蒙古中山学院   内蒙古呼和浩特市盛乐经济园区盛乐路4路（师范大学南区路东）,0471-4304661  0471-6511722,内蒙古,呼和浩特市,赛罕区
郑州市国防科技学校,河南省 郑州市 中原区,省重点,公办,职业学校,郑州市中原区中原西路富民路18号,0371-67830783,河南省,郑州市,中原区
湖北省枣阳职业中专,湖北省 襄阳市 枣阳市,全国重点,公办,职业学校,枣阳市人民路34号,0710-6321069 赵荣林 魏光煌,湖北省,襄阳市,枣阳市
肇庆外语外贸学校,广东省 肇庆市,全国重点,公办,职业学校,肇庆市西江南路小花园东街2号,0758-2821788,广东省,肇庆市,
罗田县胜利职业高中,湖北省 黄冈市 罗田县,普通,公办,职业学校,罗田县胜利镇,0713-5752439 肖仲江、唐东曙,湖北省,黄冈市,罗田县
广西电子技工学校,广西 南宁市,全国重点,公办,职业学校,南宁市江南区石竹岭二路2－1,0771—2585767,广西,南宁市,
南京中华传统武术培训学校,江苏省 南京市 白下区,全国重点,公办,职业学校,南京市白下区三条巷内,025-84810038,江苏省,南京市,白下区
厦门华报设计学校,福建省 厦门市,全国重点,公办,职业学校,中国厦门市厦禾路848号[厦门第九中学]校门二楼,0592-5802203,福建省,厦门市,
广西时珍药物职业学校,广西 南宁市,全国重点,公办,职业学校,长岗路189号,0771-5618362,广西,南宁市,
上海杨浦职业技术学校(本部),上海市 杨浦区,普通,公办,职业学校,上海市杨浦区本溪路118号,021-65040459 65032641,上海市,上海市,杨浦区
山东省日照市工业学校,山东省 日照市,全国重点,公办,职业学校,山东省五莲县城五莲山路5号,0633-5881764,山东省,日照市,
葛洲坝水利水电学校,湖北省 宜昌市,全国重点,公办,职业学校,宜昌市土城路8号,0717-6447448,湖北省,宜昌市,
玉林市技工学校,广西 玉林市 ,省重点,公办,职业学校,玉林市五里桥路167号,0775-2633104,广西,玉林市,
哈尔滨音乐学校,黑龙江 哈尔滨市 道外区,全国重点,公办,职业学校,哈尔滨市道外区先锋路22号,0451-82461886,黑龙江,哈尔滨市,道外区
枣庄煤炭卫生学校,山东省 枣庄市,全国重点,公办,职业学校,枣庄煤炭卫生学校,0632-4811044,山东省,枣庄市,
东莞市长安职业高级中学,广东省 东莞市,普通,公办,职业学校,广东省东莞市长安镇莲湖路1号电话：0769-85310871,0769-85310871,广东省,东莞市,
怀化市新华商务学校,湖南省 怀化市,普通,公办,职业学校,湖南省怀化市鸭嘴岩工业区,0745-2828688 唐校长,湖南省,怀化市,
南宁水电技工学校,广西 南宁市 西乡塘区,普通,公办,职业学校,南宁市西乡塘区相思湖西路,15907711824,广西,南宁市,西乡塘区
西安军需工业学校,陕西省 西安市 周至县,普通,公办,职业学校,西安市友谊西路153号-A,2987815634,陕西省,西安市,周至县
湖北省荆门市卫生学校,湖北省 荆门市,全国重点,公办,职业学校,荆门市虎牙关路3号,0724-2355112   王前新、官德元,湖北省,荆门市,
广东省轻工职业学校,广东省 广州市 海珠区,全国重点,公办,职业学校,广州市海珠区新港东路144号,020-84290432,广东省,广州市,海珠区
青海湟中县职业中学,青海省 西宁市,全国重点,公办,职业学校,青海湟中县鲁沙尔镇通宁路12号,0971-2236880,青海省,西宁市,
广西玉林市桂南中等职业学校,广西 玉林市,全国重点,公办,职业学校,教育中路621号,0775-2821521　 谭宗德,广西,玉林市,
李伟强职业技术学校,广东省 佛山市 顺德区,普通,私立,职业学校,顺德区大良金沙大道健民街4号,,广东省,佛山市,顺德区
山东煤炭技师学院（临沂总校）,山东省 临沂市 罗庄区,县重点,公办,职业学校,山东省临沂市罗庄区罗四路366号,15588002343,山东省,临沂市,罗庄区
上海市逸夫职业技术学校(逸夫本部),上海市 静安区,普通,公办,职业学校,上海市静安区巨鹿路700号,021-62473445 62472859,上海市,上海市,静安区
