,中学名称,地区,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
11955,濮阳市油田艺术中学,河南省 濮阳市 华龙区,普通,公办,中学,河南省濮阳市任丘路335号,0393-4821909,河南省,濮阳市,华龙区
11956,沈阳市尚品中学,辽宁省 沈阳市 大东区,普通,民办,中学,辽宁省沈阳市大东区青泉路88号,13066768967,辽宁省,沈阳市,大东区
11957,新建县第五中学,江西省 南昌市 新建区,普通,公办,中学,江西省南昌市南昌县,0791-3837414,江西省,南昌市,新建区
11958,上海市金山区山阳中学,上海市 金山区,普通,公办,中学,上海市金山区山阳镇华山路106号,021-57241241,上海市,上海市,金山区
11959,高陵三中,陕西省 西安市 高陵县,普通,公办,中学,陕西省西安市高陵县,029 86040033,陕西省,西安市,高陵县
11960,重庆德普外国语学校,重庆市 巴南区,普通,民办,中学,重庆市巴南区龙洲湾B区,023-62335357,重庆市,重庆市,巴南区
11961,秀屿区石码中学,福建省 莆田市 秀屿区,普通,公办,中学,,,福建省,莆田市,秀屿区
11962,重庆全善中学,重庆市 巴南区,普通,公办,中学,重庆市巴南区江滨路3栋,,重庆市,重庆市,巴南区
11963,广州市南沙中学（现广州市南沙第一中学）,广东省 广州市 南沙区,普通,公办,中学,广州市南沙区珠江中路91号,020-84987523,广东省,广州市,南沙区
11964,苏州市吴中区胥口中学,江苏省 苏州市 吴中区,普通,公办,中学,苏州市胥口镇清明路20号,0512-66211550,江苏省,苏州市,吴中区
11965,唐山市第五中学,河北省 唐山市,普通,公办,中学,河北省唐山市南新西道126号,（0315）2327766,河北省,唐山市,
11966,杭高启成学校,浙江省 杭州市 钱塘新区,普通,民办,中学,浙江省杭州市钱塘新区（大江东）启成路1号,,浙江省,杭州市,钱塘新区
11967,五一西路学校,广西 南宁市 江南区,普通,公办,中学,五一西路10号,0771—4985778,广西,南宁市,江南区
11968,天津市大港区油田第三中学,天津市 大港区,普通,公办,中学,天津市大港区海滨街油田红旗路,25962688   25961043,天津市,天津市,大港区
11969,韶关市行之实验学校,广东省 韶关市 武江区,普通,民办,中学,韶关市南郊四公里行之实验学校,0751-8287189 8289786,广东省,韶关市,武江区
11970,惠州市宏业中英文学校（中学部）,广东省 惠州市 惠城区,普通,公办,中学,和畅三路与振兴路交汇处附近,（0752）5833699,广东省,惠州市,惠城区
11971,常州昕弘实验学校（北师大常州附属学校）,江苏省 常州市 钟楼区,普通,民办,中学,江苏省常州市钟楼区新龙路86号,0519-85528396,江苏省,常州市,钟楼区
11972,中科院上海实验学校,上海市 嘉定区,普通,公办,中学,上海市嘉定区裕叶路与清水路交叉口南50米,021-59906608,上海市,上海市,嘉定区
11973,韶关市万豪英文中学,广东省 韶关市 翁源县,普通,公办,中学,韶关市翁源县龙仙镇鑫源路25号　,（0751）2878699,广东省,韶关市,翁源县
11974,杭州萧山区第六高级中学,浙江省 杭州市 萧山区,普通,公办,中学,杭州市萧山区戴村镇六中大道1号,0571-82231069 57178099,浙江省,杭州市,萧山区
11975,泥城中学,上海市 浦东新区,普通,公办,中学,上海市浦东区泥城镇泥城路2号,58070744,上海市,上海市,浦东新区
11976,三林中学东校,上海市 浦东新区,普通,公办,中学,上海市浦东区南林路733号,021-58491265 58495664,上海市,上海市,浦东新区
11977,南宁市三塘镇四塘中学,广西 南宁市 兴宁区,普通,公办,中学,南宁市兴宁区三塘镇四塘社区南环路132号,0771-4240180,广西,南宁市,兴宁区
11978,广西大学附属中学（崇左校区）,广西 崇左市 江洲区,普通,民办,中学,广西壮族自治区崇左市江州区城南一路,0771-5961360,广西,崇左市,江洲区
11979,嘉善县天凝中学,浙江省 嘉兴市 嘉善县,普通,私立,中学,嘉善县天凝镇人民路170号,,浙江省,嘉兴市,嘉善县
11980,北京二十中附属实验学校,北京市 海淀区,普通,公办,中学,北京市海淀区清河二十中学附属实验学校,010-82982704,北京市,北京市,海淀区
11981,上杭县第四中学,福建省 龙岩市 上杭县,普通,公办,中学,福建省龙岩市上杭县,,福建省,龙岩市,上杭县
11982,紫金县尔崧中学,广东省 河源市 紫金县,普通,公办,中学,广东省河源市紫金县尔崧中学,0762-7822916,广东省,河源市,紫金县
11983,上海市新杨中学,上海市 普陀区,普通,公办,中学,上海市普陀区雪松路458弄桃浦七村88号,021-66268880 66262702,上海市,上海市,普陀区
11984,天津市大港区第六中学,天津市 大港区,普通,公办,中学,天津市大港区旭日路与凯旋街交汇处,022-63100358,天津市,天津市,大港区
11985,晋江市三民中学,福建省 泉州市 晋江市,普通,公办,中学,福建省泉州市晋江市内坑镇白安村,,福建省,泉州市,晋江市
11986,长沙博才培圣学校,湖南省 长沙市 岳麓区,普通,民办,中学,长沙岳麓区滨江新城北津城路153号,0731-82072198,湖南省,长沙市,岳麓区
11987,苏州高新区第三中学（原东渚、镇湖中学）,江苏省 苏州市 虎丘区,普通,公办,中学,江苏省苏州市高新区嘉陵江路8号,0512-66891770,江苏省,苏州市,虎丘区
11988,大悟天有实验学校,湖北省 孝感市 大悟县,普通,民办,中学,湖北省孝感市大悟县高店乡悟宣线高铁新区东城派出所斜对面,0712-7187010,湖北省,孝感市,大悟县
11989,大连市第三十一中学,辽宁省 大连市 沙河口区,普通,公办,中学,辽宁省大连市沙河口区太原街151号,0411-84307754,辽宁省,大连市,沙河口区
11990,秀屿区秀山中学,福建省 莆田市 秀屿区,普通,公办,中学,福建省莆田市秀屿区笏石镇大众路751号,0594-5880086,福建省,莆田市,秀屿区
11991,南安市成功初级中学,福建省 泉州市 南安市,普通,公办,中学,福建省泉州市南安市码头镇区高林山,,福建省,泉州市,南安市
11992,新郑市市直中学,河南省 郑州市 新郑市,普通,公办,中学,河南省郑州市新郑市步行街,0371-62680593,河南省,郑州市,新郑市
11993,平山县外国语中学,河北省 石家庄市 平山县,普通,公办,中学,河北省石家庄市平山县康乐街,13731181008,河北省,石家庄市,平山县
11994,广州市花都区花广金狮学校,广东省 广州市 花都区,普通,民办,中学,狮岭镇金狮大道东正阳路铺头园路1号,,广东省,广州市,花都区
11995,广州市东埔中学,广东省 广州市 天河区,普通,公办,中学,广州市中山大道黄村西路5号,020-32373393,广东省,广州市,天河区
11996,成都英才学校,四川省 成都市 成华区,普通,公办,中学,四川省成都市成华区民兴一路500号,,四川省,成都市,成华区
11997,遂溪县大成中学,广东省 湛江市 遂溪县,普通,公办,中学,广东省湛江市遂溪县,7763676,广东省,湛江市,遂溪县
11998,汝州市纸坊镇一中,河南省 平顶山市 汝州市,普通,公办,中学,河南省汝州市纸坊镇康街村北350号,13938679443,河南省,平顶山市,汝州市
11999,宁波储能学校,浙江省 宁波市 海曙区,普通,民办,中学,浙江省宁波市海曙区段塘街道粮丰街165号,,浙江省,宁波市,海曙区
12000,黄冈市蕲春县株林镇达城初级中学,湖北省 黄冈市 蕲春县,普通,公办,中学,湖北省黄冈市蕲春县株林镇中咀,,湖北省,黄冈市,蕲春县
12001,苏州市张家港市大新中学,江苏省 苏州市 张家港市,普通,公办,中学,江苏省苏州市张家港市大新镇,0512-58760172,江苏省,苏州市,张家港市
12002,上海市比乐中学（初中部）,上海市 黄浦区,普通,公办,中学,上海市卢湾区崇德路43号,021-63558538,上海市,上海市,黄浦区
12003,天津市塘沽区第十三中学,天津市 塘沽区,普通,公办,中学,天津市塘沽区广州道开源里21号,022-66308496,天津市,天津市,塘沽区
12004,湖州市吴兴实验中学,浙江省 湖州市 吴兴区,普通,民办,中学,浙江省湖州市吴兴区升山路1000号,0572-2217775,浙江省,湖州市,吴兴区
12005,烟台市培英学校（初中部）,山东省 烟台市 芝罘区,普通,民办,中学,山东省烟台市芝罘区北岛路18号,0535-6830585,山东省,烟台市,芝罘区
12006,周良庄镇初级中学,天津市 宝坻区,普通,公办,中学,天津市宝坻区周良庄镇周良庄中学,022―2249 9457,天津市,天津市,宝坻区
12007,汕头市潮阳区联堤中学,广东省 汕头市 潮阳区,普通,公办,中学,广东省汕头市潮阳区贵屿镇联堤社区,0754-84448981 84443692,广东省,汕头市,潮阳区
12008,莆田秋芦中学,福建省 莆田市 涵江区,普通,公办,中学,福建省莆田市涵江区秋芦镇崇圣村4号,0594-3963744,福建省,莆田市,涵江区
12009,泗阳致远中学,江苏省 宿迁市 泗阳县,普通,民办,中学,泗阳县繁荣北路1号（老校区），泗阳县上海路60号（新校区）,0527-88331092,江苏省,宿迁市,泗阳县
12010,嘉祥县第三中学,山东省 济宁市,普通,私立,中学,山东省嘉祥县纸坊镇驻地,,山东省,济宁市,
12011,博罗县综合高级中学,广东省 惠州市 博罗县,普通,公办,中学,广东省惠州市博罗县泰美镇工农路137号,,广东省,惠州市,博罗县
12012,荔广实验学校（荔湾广附）,广东省 广州市 荔湾区,普通,民办,中学,荔湾区龙溪大道490号,,广东省,广州市,荔湾区
12013,余干一中,江西省 上饶市 余干县,普通,公办,中学,上饶市余干县干越大道465,,江西省,上饶市,余干县
12014,佛山市第十四中学,广东省 佛山市,普通,公办,中学,佛山石湾区石湾镇中二路,,广东省,佛山市,
12015,哈尔滨市第四十八中学校,黑龙江 哈尔滨市 松北区,普通,公办,中学,哈尔滨市松北区万宝镇,0451 88115470,黑龙江,哈尔滨市,松北区
12016,上海市复兴实验中学,上海市 虹口区,普通,公办,中学,上海市汶水东路690弄73号,021-65925573,上海市,上海市,虹口区
12017,松山湖南方外国语学校,广东省 东莞市 松山湖,普通,民办,中学,东莞市松山湖北部工业园区工业北二路,,广东省,东莞市,松山湖
12018,北京市忠德学校,北京市 朝阳区,普通,公办,中学,北京市朝阳区东苇路9号,010-51397600,北京市,北京市,朝阳区
12019,温州瑞安市私立实验中学,浙江省 温州市 瑞安市,普通,私立,中学,瑞安市安阳镇西河小区环城河畔,,浙江省,温州市,瑞安市
12020,房村镇中心中学,江苏省 徐州市 铜山县,普通,公办,中学,江苏省铜山区房村镇中心中学,,江苏省,徐州市,铜山县
12021,上海市宝钢新世纪学校（中学部）,上海市 宝山区,普通,公办,中学,上海市宝山区盘古路528号,021-56693196,上海市,上海市,宝山区
12022,杭州绿城育华亲亲学校,浙江省 杭州市 西湖区,普通,民办,中学,杭州市朱家路2号,0571-89003518 89003509,浙江省,杭州市,西湖区
12023,上海外冈中学,上海市 嘉定区,普通,公办,中学,上海市嘉定区外冈镇恒飞路688号,021-39106043,上海市,上海市,嘉定区
12024,成都新都新川外国语学校,四川省 成都市 新都区,普通,民办,中学,四川省成都市兴城大道3000号,028-67448903,四川省,成都市,新都区
12025,福州市螺洲中学,福建省 福州市 仓山区,普通,公办,中学,仓山区,电&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;话,福建省,福州市,仓山区
12026,滩上中学,江苏省 徐州市 邳州市,普通,私立,中学,江苏邳州市滩上镇摊上乡,,江苏省,徐州市,邳州市
12027,广西玉林北流新世纪教育城,广西 玉林市 北流市,普通,民办,中学,玉林市北流市印塘圭江大桥与G324,,广西,玉林市,北流市
12028,常州市正衡中学,江苏省 常州市 天宁区,普通,民办,中学,江苏省常州市天宁区清凉东路48号,88869675—8068,江苏省,常州市,天宁区
12029,广州番禺区金华学校,广东省 广州市 番禺区,普通,民办,中学,广东省广州市番禺区石基镇竹山村翠竹园内,020-84641791,广东省,广州市,番禺区
12030,清城区松岗中学,广东省 清远市 清城区,普通,公办,中学,广东省清远市清城区清沙大道石坑桥头,3315265,广东省,清远市,清城区
12031,长郡郡维实验中学,湖南省 长沙市 岳麓区,普通,民办,中学,长沙市岳麓区洋湖片,招生办0731-85287998,湖南省,长沙市,岳麓区
12032,长沙第十九中学,湖南省 长沙市 长沙县,普通,公办,中学,湖南省.长沙市麓山南路,,湖南省,长沙市,长沙县
12033,福山区城关中学,山东省 烟台市 福山区,普通,公办,中学,山东省烟台市福山区东华街27号,0535-6362245,山东省,烟台市,福山区
12034,温州第二十中学,浙江省 温州市 龙湾区,普通,公办,中学,温州市龙湾区龙飞路180,0577-86352365,浙江省,温州市,龙湾区
12035,上海市亭新中学,上海市 金山区,普通,公办,中学,亭林镇复兴东路48号,021-57232422,上海市,上海市,金山区
12036,泉州外国语中学,福建省 泉州市 鲤城区,普通,公办,中学,福建省泉州市鲤城区学府路31号,0595-22794502,福建省,泉州市,鲤城区
12037,南靖四中,福建省 漳州市 南靖县,普通,公办,中学,福建省漳州市南靖县靖城镇319线191号联系电话：0596-7661076,0596-7661076,福建省,漳州市,南靖县
12038,启明中学,江苏省 徐州市 新沂市,普通,私立,中学,http://www.qimingzx.com/,,江苏省,徐州市,新沂市
12039,毕节东辰实验学校,贵州省 毕节地区 毕节市,普通,民办,中学,毕节市七星关区观音桥迎宾村,0857-8880666,贵州省,毕节地区,毕节市
12040,沈阳市第一一一中学,辽宁省 沈阳市 大东区,普通,公办,中学,沈阳市大东区上园路45号,024-88321143,辽宁省,沈阳市,大东区
12041,南宁市兴宁中学,广西 南宁市 兴宁区,普通,公办,中学,南宁市东沟岭正街232号,0771-5763999,广西,南宁市,兴宁区
12042,三明市列东中学,福建省 三明市 梅列区,普通,公办,中学,福建省三明市梅列区高岩新村43幢,0598-8223424,福建省,三明市,梅列区
12043,杭州市萧山区衙前初中,浙江省 杭州市 萧山区,普通,公办,中学,杭州市萧山区衙前镇项漾村成虎路110号,（0571）82769178,浙江省,杭州市,萧山区
12044,长庆石油勘探局长庆八中,陕西省 西安市 未央区,普通,公办,中学,西安市未央区长庆兴隆园小区,029 86594301,陕西省,西安市,未央区
12045,深圳启英学校,广东省 深圳市 龙岗区,普通,民办,中学,深圳市龙岗区平湖辅城坳嘉湖路1号,0755-84015526 89696629,广东省,深圳市,龙岗区
12046,天府新区实验中学,四川省 成都市 天府新区,普通,公办,中学,四川成都双流华阳二江路一段262号,,四川省,成都市,天府新区
12047,恩施三中,湖北省 恩施 恩施市,普通,公办,中学,湖北省恩施土家族苗族自治州恩施市龙凤镇建设大道522号,,湖北省,恩施,恩施市
12048,吴江市青云中学,江苏省 苏州市 吴江区,普通,公办,中学,苏州吴江市青云镇百花路８号,0512-63861642,江苏省,苏州市,吴江区
12049,福州时代华威学校,福建省 福州市 仓山区,普通,民办,中学,福建省福州市仓山区阳岐路72号,0591-83767111,福建省,福州市,仓山区
12050,石家庄市第十三中学,河北省 石家庄市 长安区,普通,公办,中学,河北省石家庄市长安区南高营　　,0311-87252099/87252068,河北省,石家庄市,长安区
12051,私立青岛天龙中学,山东省 青岛市 崂山区,普通,私立,中学,山东省青岛市崂山区九水东路631号,0532-88817466,山东省,青岛市,崂山区
12052,苏州市张家港市梁丰初级中学,江苏省 苏州市 张家港市,普通,公办,中学,苏州市张家港市杨舍镇永安路,0512-56729926,江苏省,苏州市,张家港市
12053,郑州新奇中学,河南省 郑州市 金水区,普通,私立,中学,郑州市三全路70号,0371-86007970,河南省,郑州市,金水区
12054,上海市淞谊中学,上海市 宝山区,普通,公办,中学,上海市宝山区密山路100号,021-56691730,上海市,上海市,宝山区
12055,元氏县第七中学,河北省 石家庄市 元氏县,普通,公办,中学,河北省石家庄市元氏县城北井元公路旁边,84623618,河北省,石家庄市,元氏县
12056,无锡匡园双语学校,江苏省 无锡市 惠山区,普通,民办,中学,江苏省无锡市惠山区洛洲路22号,,江苏省,无锡市,惠山区
12057,杭州学军文渊中学,浙江省 杭州市 萧山区,普通,民办,中学,浙江省杭州市萧山区扬帆路1050号,,浙江省,杭州市,萧山区
12058,韶关市第八中学,广东省 韶关市 浈江区,普通,公办,中学,广东省韶关市浈江区乐园镇南郊三公里滨江北路23号,0751-82897603,广东省,韶关市,浈江区
12059,于都县第三中学,江西省 赣州市 于都县,普通,私立,中学,江西省赣州市于都县育英大道,0797-6338560,江西省,赣州市,于都县
12060,海口市金盘实验学校,海南省 海口市 龙华区,普通,公办,中学,海南省海口市龙华区中沙路1号,0898-66817288,海南省,海口市,龙华区
12061,扬州竹西中学,江苏省 扬州市 邗江区,普通,公办,中学,友谊路417号,0514-87625925  0514-87625912,江苏省,扬州市,邗江区
12062,上海市松江区车墩学校,上海市 松江区,普通,公办,中学,上海市松江区车墩镇虬长路276号,021-57602124,上海市,上海市,松江区
12063,东莞市寮步龙光学校,广东省 东莞市 寮步镇,普通,民办,中学,东莞市寮步镇石步村石大路段255号,（0769）83520878,广东省,东莞市,寮步镇
12064,龙岩北附实验学校,福建省 龙岩市 新罗区,普通,民办,中学,福建省龙岩市新罗区南环中路20-10号,2821666,福建省,龙岩市,新罗区
12065,武汉市中北路中学,湖北省 武汉市 武昌区,普通,公办,中学,武汉市中北路二街坊225号,027-87305295,湖北省,武汉市,武昌区
12066,密云区高岭中学,北京市 密云区,普通,公办,中学,北京市密云县高岭镇高岭村,010-81081011,北京市,北京市,密云区
12067,宝坻区高家庄镇三岔口中学,天津市 宝坻区,普通,公办,中学,宝坻区高家庄镇三岔口村南,022- 22548493,天津市,天津市,宝坻区
12068,交通大学附属中学（交通大学附属实验学校）,上海市 宝山区,普通,公办,中学,上海市宝山区殷高路42号,021-65911010,上海市,上海市,宝山区
12069,深圳罗湖铁路中学,广东省 深圳市 罗湖区,普通,公办,中学,深圳市罗湖区桂园路果园东7号,0755-82116427,广东省,深圳市,罗湖区
12070,浏阳市牛石中学,湖南省 长沙市 浏阳市,普通,公办,中学,湖南省长沙市浏阳市106国道,,湖南省,长沙市,浏阳市
12071,广州市海珠中路七株榕9号,广东省 广州市 越秀区,普通,公办,中学,广州市文德南路海傍福安里６号,020-83334132,广东省,广州市,越秀区
12072,合肥科华技术学校,安徽省 合肥市 瑶海区,,公办,中学,合肥张洼,0551-4658907,安徽省,合肥市,瑶海区
12073,西安电力机械制造公司第三中学,陕西省 西安市 碑林区,普通,公办,中学,西安市西郊丰登路45号,029 84240742,陕西省,西安市,碑林区
12074,乐清市黄华镇第二中学,浙江省 温州市 乐清市,普通,私立,中学,乐清市黄华镇岐头三村,,浙江省,温州市,乐清市
12075,上海邵厂学校（中学部）,上海市 奉贤区,普通,公办,中学,平安镇红卫村1118号,021-57140787,上海市,上海市,奉贤区
12076,西安铁三小,陕西省 西安市 未央区,普通,公办,中学,西安市铁三小门口,029 86261328,陕西省,西安市,未央区
12077,上海英国国际学校（浦东校区）,上海市 浦东新区,普通,民办,中学,上海市浦东新区蓝桉路266号,021-58999910,上海市,上海市,浦东新区
12078,黄埔区文冲中学,广东省 广州市 黄埔区,普通,公办,中学,广东省广州市黄埔区广东省石化一街120号,020-82389690,广东省,广州市,黄埔区
12079,湖北省宜昌市十三中学,湖北省 宜昌市 伍家岗区,普通,公办,中学,伍家岗区白沙路8号,0717-6553275,湖北省,宜昌市,伍家岗区
12080,上海建德学校,上海市 普陀区,普通,公办,中学,香樟路386号,021-52983993 纪长有,上海市,上海市,普陀区
12081,沙县湖源初级中学,福建省 三明市,普通,公办,中学,福建省三明市沙县湖源乡锦湖村,0598-5785671,福建省,三明市,
12082,安徽省凤台县新集镇左集初级中学,安徽省 淮南市,普通,公办,中学,左集村西街,0554-8141010 左德伟,安徽省,淮南市,
12083,大连海洋学校,辽宁省 大连市 沙河口区,普通,公办,中学,大连沙河口区凌河街40号,0411-84750782,辽宁省,大连市,沙河口区
12084,北京市二中分校,北京市 东城区,普通,民办,中学,北京市东城区朝阳门内南小街南竹杆胡同81号,010-65129753,北京市,北京市,东城区
12085,仙游县榜头二中,福建省 莆田市 仙游县,普通,公办,中学,仙游县榜头仙水村,0594-7795327,福建省,莆田市,仙游县
12086,陕西省户县职教中心,陕西省 西安市,,公办,中学,户县秦渡镇（牛东）北中村,029 84940434,陕西省,西安市,
12087,郑州第15中学,河南省,普通,公办,中学,管城区东三马路115号,0371-6966012,河南省,,
12088,宜丰县花桥中学,江西省 宜春市 宜丰县,普通,公办,中学,江西省宜春市宜丰县花桥集镇西之青龙嘴,0795-2955916,江西省,宜春市,宜丰县
12089,长沙市白泉学校,湖南省 长沙市 岳麓区,普通,公办,中学,岳麓区坪塘镇白泉村上新塘组,0731-- 88459985,湖南省,长沙市,岳麓区
12090,西安市第九十三中学,陕西省 西安市 碑林区,普通,公办,中学,环城南路72号,029 87853312,陕西省,西安市,碑林区
12091,上海市康定中学,上海市 静安区,普通,公办,中学,上海市静安区延平路361号,021-62180891,上海市,上海市,静安区
12092,黄梅县大河镇中心学校,湖北省 黄冈市 黄梅县,普通,公办,中学,黄梅县大河镇,,湖北省,黄冈市,黄梅县
12093,北京汇才中学（北校）,北京市 西城区,普通,公办,中学,白云观街北里11号,010-63315153,北京市,北京市,西城区
12094,涉县西戌镇偏店中学,河北省 邯郸市,普通,私立,中学,邯郸市涉县偏店村,0310-3739057,河北省,邯郸市,
12095,上宝中学,上海市 闵行区,普通,私立,中学,上海市闵行区农谊路1号,021-54866016 64619817,上海市,上海市,闵行区
12096,广州法国国际学校,广东省 广州市 天河区,普通,民办,中学,汇景新城汇景南路5-9号,02038797324,广东省,广州市,天河区
12097,黄河高级中学,上海市 普陀区,普通,私立,中学,上海市普陀区长寿路652号,021-62986773 52520542,上海市,上海市,普陀区
12098,广州市萝岗区宏岗中学,广东省 广州市 黄埔区,普通,公办,中学,中国广东省广州市萝岗区宏岗头园三巷,020-82242858,广东省,广州市,黄埔区
12099,戈阳县第一中学,江西省,普通,公办,中学,戈阳县志敏大道45号,0793-5883066,江西省,,
12100,荣昌县双河街道成人学校,重庆市 荣昌县,普通,公办,中学,重庆市荣昌县双河镇,023-63631089,重庆市,重庆市,荣昌县
12101,重庆市潼南县新华初级中学,重庆市 潼南区,普通,公办,中学,潼南县新华乡,023-63631090,重庆市,重庆市,潼南区
12102,南辛镇尼山中学,山东省 济宁市,普通,私立,中学,济宁曲阜市南辛镇,,山东省,济宁市,
12103,利津县利津镇一中,山东省 东营市 利津县,普通,公办,中学,山东省东营市利津县城文化路2号,0546-5682325,山东省,东营市,利津县
12104,北京三十九中学,北京市 西城区,普通,公办,中学,黄城根北街甲10号,010—66175798,北京市,北京市,西城区
12105,黄冈电子信息学校,湖北省 黄冈市 黄州区,普通,私立,中学,湖北省黄冈市黄州沿江大道23号,0713-8354977,湖北省,黄冈市,黄州区
12106,苏家屯区红菱学校,辽宁省 沈阳市 苏家屯区,普通,公办,中学,苏家屯区红菱堡镇红永路,024-89451158,辽宁省,沈阳市,苏家屯区
12107,中艺清美艺术学校,北京市 顺义区,普通,公办,中学,北京市后沙峪裕民大街1号中艺清美艺术学校,4006632600,北京市,北京市,顺义区
12108,中华职业学校,上海市 黄浦区,普通,公办,中学,上海市卢湾区打浦路303弄16号,021-63036110 63031156,上海市,上海市,黄浦区
12109,广州119中,广东省 广州市 荔湾区,普通,公办,中学,广州市芳村区花地大策五巷44号,020-81890318,广东省,广州市,荔湾区
12110,江门市荷塘联育学校（中学部）,广东省 江门市 蓬江区,普通,公办,中学,广东省新会市荷塘镇六坊村,0750 3738036,广东省,江门市,蓬江区
12111,沈阳市康平县北四家子初级中学,辽宁省 沈阳市 康平县,普通,公办,中学,康平县北四家子乡南侧,024-87350084,辽宁省,沈阳市,康平县
12112,东华高级中学,广东省 东莞市 东城区,普通,民办,中学,广东省东莞市东城区东华高级中学,0769-22637808,广东省,东莞市,东城区
12113,天津市宝坻区大钟庄镇袁罗庄初级中学,天津市 宝坻区,普通,公办,中学,天津市宝坻区大钟庄镇袁罗庄村,022- 82433244,天津市,天津市,宝坻区
12114,北京市中关村中学分校（原学院路中学）,北京市 海淀区,普通,公办,中学,北京市海淀区蓟门里小区北甲11号,010-62015279,北京市,北京市,海淀区
12115,上海民办奉浦学校,上海市 奉贤区,普通,民办,中学,上海市工业综合开发区韩村路333号,021-67102210,上海市,上海市,奉贤区
12116,上海市曹杨第九中学,上海市 普陀区,普通,公办,中学,上海市普陀区香樟路429号,021-52853453、52850618,上海市,上海市,普陀区
12117,海南经贸职业技术学院,海南省 海口市,普通,公办,中学,,,海南省,海口市,
12118,温州市聋哑学校,浙江省 温州市 鹿城区,普通,私立,中学,鹿城区木勺巷30号,,浙江省,温州市,鹿城区
12119,河南省泌阳县泌水镇第二初级中学,河南省,普通,公办,中学,泌水镇行政路中段,0369-2233700,河南省,,
12120,鹤浦镇初级中学,浙江省 宁波市 象山县,普通,公办,中学,浙江省象山县鹤浦镇南田路169号,0574-65010072,浙江省,宁波市,象山县
12121,花矿学校,江西省 新余市,普通,公办,中学,新余市花鼓山煤矿,0790-6708052,江西省,新余市,
12122,甘霖镇中学,浙江省 绍兴市 嵊州市,普通,公办,中学,绍兴市嵊州市甘霖镇镇南,,浙江省,绍兴市,嵊州市
12123,合肥皖江数控技术专修学校,安徽省 合肥市 瑶海区,普通,公办,中学,合肥市张洼路209号安徽省皖江机械厂内,0551-4280180,安徽省,合肥市,瑶海区
12124,大荆镇雁东九制学校,浙江省 温州市,普通,私立,中学,大荆镇久防村 	      浙江温州大荆田岙村,,浙江省,温州市,
12125,北京市大兴区朱庄中学,北京市 大兴区,普通,公办,中学,北京市大兴区长子营镇朱庄西,010-80210489,北京市,北京市,大兴区
12126,静海县沿庄镇东滩头中心校,天津市 静海区,普通,公办,中学,天津市静海县沿庄镇东滩头村东,022-68771127,天津市,天津市,静海区
12127,成功教育实验中学（古田中学）,上海市 静安区,普通,公办,中学,上海市闸北区和田路410号,021-66600431,上海市,上海市,静安区
12128,沙县高砂中学,福建省 三明市,普通,公办,中学,福建省三明市沙县,0598-5636185,福建省,三明市,
12129,韶关市乐昌市庆云中学,广东省 韶关市 乐昌市,普通,公办,中学,广东省韶关市乐昌市庆云镇金坪,0751-5700333,广东省,韶关市,乐昌市
12130,沈阳市第九十二中学,辽宁省 沈阳市 大东区,普通,公办,中学,沈阳市大东区东北大马路明堂街3号,024-88098945,辽宁省,沈阳市,大东区
12131,汉城国际学校,江苏省 徐州市,普通,私立,中学,江苏省徐州市沛县沛城镇沛公路1号,,江苏省,徐州市,
12132,嘉兴市秀洲中学分校,浙江省 嘉兴市 秀洲区,普通,私立,中学,环城东路75号,,浙江省,嘉兴市,秀洲区
12133,韶关市乐昌市白石中学,广东省 韶关市 乐昌市,普通,公办,中学,广东省乐昌市秀水镇,0751-5840215,广东省,韶关市,乐昌市
12134,南城县第二中学,江西省,普通,公办,中学,南城县建昌镇人民巷42号,0794-7252533,江西省,,
12135,涉县索堡镇辽城乡中学,河北省 邯郸市,普通,私立,中学,邯郸市涉县索堡镇,0310-3928543,河北省,邯郸市,
12136,安徵省铜陵市第九中学,安徽省 铜陵市,普通,公办,中学,沿江新村九中,0562-3812910 杨益民,安徽省,铜陵市,
12137,上饶县湖村中学,江西省 上饶市 上饶县,普通,公办,中学,江西省上饶市上饶县,0793-8651081,江西省,上饶市,上饶县
12138,北京市和平门中学,北京市 西城区,普通,公办,中学,北京市西城区南新华街15号,010-63014680-207,北京市,北京市,西城区
12139,福建省福州第八中学,福建省 福州市 台江区,普通,公办,中学,福建省福州市817中路707号,0591-83277032,福建省,福州市,台江区
12140,平远县河头中学,广东省 梅州市 平远县,普通,公办,中学,广东省梅州市平远县,0753-8211096,广东省,梅州市,平远县
12141,北京市昌平区黑山寨学校,北京市 昌平区,普通,公办,中学,北京市昌平区马池口镇北小营村,010-60756420,北京市,北京市,昌平区
12142,安徽省淮南市第八中学,安徽省 淮南市,普通,公办,中学,大通区居仁村,0554-2511645 戴佩芳,安徽省,淮南市,
12143,陕西银行学校,陕西省 西安市 雁塔区,普通,公办,中学,西安市电子一路253号,029 88217582,陕西省,西安市,雁塔区
12144,新基础教育实验学校,上海市 闵行区,普通,公办,中学,上海市闵行区红松路81弄18号,64020854 64024300,上海市,上海市,闵行区
12145,嵊州市中等职业技术学校,浙江省 绍兴市 嵊州市,普通,公办,中学,嵊州市鹿山街道小砩,,浙江省,绍兴市,嵊州市
