,地址,电话,网址,城市
太康县第五高级中学,河南省周口市太康县马厂镇,0394-6751042,http://xuexiao.chazidian...,周口
周口第三高级中学,周口市川汇区健康路114号,0394--8584951,,周口
淮阳县第二高级中学,河南省周口市淮阳县城北二环路路南,0394-2693637,http://xuexiao.chazidian...,周口
西华县第二高级中学,西华县西关,,http://xuexiao.chazidian...,周口
太康县第四高级中学,太康县清集乡,13803941676,http://xuexiao.chazidian...,周口
周口新兴中学,河南省信阳市平桥区平昌关镇文化街,0376-3585022,,周口
周口文昌中学,周口市大庆路北段沙河桥北路西,0394-8585200,,周口
周口第一中学分校,淮阳县西关,0394-2676199,http://xuexiao.chazidian...,周口
周口朱集中学,淮阳县朱集乡朱集行下村,0394-2930098,http://xuexiao.chazidian...,周口
周口恒大中学,川汇区金海路附近,03948690158,,周口
周口华夏外语中学,太康县城关镇西关,0394-6817385,,周口
周口乡陶母岗中学,太康县毛庄镇许楼行政村,0394-6917888,http://xuexiao.chazidian...,周口
周口幼儿师范学校,周口市大闸路中段,03948211055,,周口
廉江安铺中学,,,,湛江
徐闻县曲界第二中学,,,,湛江
纪家第二中学,,,,湛江
吴川樟铺第二中学,,,,湛江
湛江港城实验中学,民治路183号,,,湛江
吴川实验中学,湛江市梅录镇解放路67号,,,湛江
湛江初级实验中学,广东省湛江市赤坎区,,,湛江
湛江麻章中学实验学校,,,,湛江
湛江第二十二中学,椹川大道南124,,,湛江
湛江民进职业高级中学,人民大道南21号,,,湛江
湛江启迪职业高级中学,岭南路6号,,,湛江
湛江协培职业高级中学,广东省湛江市霞山区绿塘路87号,,,湛江
湛江申美职业高级中学,湛江工农路3号,,,湛江
湛江兴民职业高级中学,湛江录塘路17号,,,湛江
湛江渔业高级中学,草潭镇,,,湛江
湛江崇文高级中学,,,,湛江
湛江麻章中学,,,,湛江
湛江横山附属中学,广东省湛江市横山镇教育路28号,,,湛江
湛江红江中学,广东省湛江市廉江市673县道,,,湛江
湛江幸福中学,龙门镇国营幸福农场,,,湛江
雷州南兴中学,湛江南兴镇,,,湛江
廉江罗州中学,廉城镇人民大道东路新兴小学边,,,湛江
雷州松竹中学,广东省湛江市松竹镇,,,湛江
湛江德才中学,广东省湛江市东简镇,,,湛江
湛江那梧中学,覃巴镇,,,湛江
徐闻县外罗中学,湛江外罗镇,,,湛江
湛江曲塘中学,广东省湛江市廉江市g75兰海高速出口g75兰海高速,,,湛江
湛江粤西晨光中学,广东省湛江市廉江市横山镇国营晨光农场场部(524443),,,湛江
湛江石颈中学,广东省湛江市石颈镇,,,湛江
湛江茅塘中学,广东省湛江市北坡镇茅塘中学,,,湛江
湛江火炬中学,湛江龙门镇国营火炬农场,,,湛江
湛江晨光中学,广东省湛江市横山镇,,,湛江
湛江收获中学,广东省湛江市收获农场,,,湛江
雷州北和中学,广东省湛江市雷州市北和镇北和墟(524256),,,湛江
湛江乌塘中学,广东省湛江市乌塘镇,,,湛江
湛江金星中学,广东省湛江市雷州市龙门镇金星中学(524258),,,湛江
湛江雅塘中学,广东省湛江市廉江市676县道,,,湛江
湛江黎明中学,广东省湛江市良垌镇黎明农场,,,湛江
湛江石城中学,广东省湛江市石城镇,,,湛江
雷州国营林业局中学,湛江城月镇雷州林业局中学,,,湛江
雷州杨家中学,广东省湛江市杨家镇,,,湛江
湛江东岸中学,广东省湛江市坡头区325国道,,,湛江
雷州新城中学,广东省湛江市西湖大道四横路9号,,,湛江
廉江龙湾中学,广东省湛江市廉江市675县道,,,湛江
湛江文车中学,,,,湛江
湖光新圩中学,广东省湛江市湖光新圩,,,湛江
雷州试验中学,广东省湛江市师范前巷,,,湛江
湛江第二十三中学,,,,湛江
湛江粤西东方红中学,广东省湛江市雷州市690县道,,,湛江
湛江奋勇场中学,广东省湛江市奋勇农场,,,湛江
湛江水潭中学,广东省湛江市黄坡镇水潭北,,,湛江
雷州师专附属中学,广东省湛江市赤坎区寸金路,,,湛江
湛江苏村中学,广东省湛江市长岐苏村西边塘,,,湛江
湛江南柳中学,广东省湛江市霞山区南柳路,,,湛江
湛江第二十五中学,广东省湛江市调顺湛渔公司一中,,,湛江
吴川板桥中学,,,,湛江
湛江工农中学,湛江市湖光路三岭山,,,湛江
湛江湛化中学,工农路32,,,湛江
湛江城西中学,广东省湛江市吴川市创业路附近,,,湛江
湛江龙塘中学,广东省湛江市龙塘镇,,,湛江
湛江沙古中学,广东省湛江市沙古镇,,,湛江
湛江西埇中学,广东省湛江市遂溪县325国道,,,湛江
雷州松竹宽义中学,,,,湛江
雷州覃斗中学,,,,湛江
吴川梅菉中学,,,,湛江
湛江南华中学,,,,湛江
遂溪县北坡中学,,,,湛江
雷州英利中学,,,,湛江
湛江梅溪中学,,,,湛江
湖光农场中学,,,,湛江
湛江城区中学,,,,湛江
湛江洋青中学,,,,湛江
湛江石角中学,,,,湛江
湛江草潭中学,,,,湛江
湛江豆村中学,,,,湛江
湛江雷高中学,,,,湛江
吴川长岐中学,,,,湛江
湛江椰林中学,,,,湛江
湛江梧村垌中学,,,,湛江
湛江鹤龄中学,,,,湛江
雷州乌石中学,,,,湛江
湛江大黄中学,,,,湛江
湛江下洋中学,,,,湛江
湛江第十四中学,7路下行(机场国内厅-霞山总站),,,湛江
湛江湖塘中学,湛江吴川市,,,湛江
湛江前进中学,广东省湛江市遂溪县207国道,,,湛江
湛江平坦中学,广东省湛江市廉江市文化路,,,湛江
湛江黄略中学,广东省湛江市遂溪县瑞云北路,,,湛江
湛江湛屋中学,广东省湛江市塘缀镇,,,湛江
湛江上杭中学,广东省湛江市板桥镇上杭村,,,湛江
湛江美术中学,广东省湛江市赤坎区,,,湛江
湛江华港中学,北桥路31号,,,湛江
湛江江洪中学,广东省湛江市遂溪县375省道,,,湛江
湛江乾塘中学,广东省湛江市郊区三窝圩,,,湛江
吴川海滨中学,湛江市霞山区湛江海滨大道中,,,湛江
湛江乐民中学,,,,湛江
湛江角尾中学,,,,湛江
廉江营仔中学,,,,湛江
湛江泗岸中学,,,,湛江
湛江鉴江中学,,,,湛江
湛江云峡希望中学,,,,湛江
湛江下桥中学,,,,湛江
湛江新华中学,,,,湛江
湛江蓼罗中学,,,,湛江
吴川第一职业高级中学,,,,湛江
湛江育才职业高级中学,湛江廉城镇黄村街兴中路,,,湛江
雷州覃斗职业高级中学,广东省湛江市雷州市覃斗镇覃斗圩（524254）,,,湛江
遂溪县洋青职业高级中学,洋青镇,,,湛江
遂溪县北坡职业高级中学,北坡镇,,,湛江
湛江海康县职业高级中学,广东省湛江市西湖大道229号,,,湛江
湛江坡头区官渡职业高级中学,,,,湛江
湛江东简中学,东简镇,,,湛江
湛江上郭中学,吴阳镇上郭村,,,湛江
吴川樟铺中学,广东省湛江市吴川市700县道,,,湛江
廉江吉水中学,吉水镇,,,湛江
湛江麻斜中学,麻斜街麻坡路,,,湛江
湛江郭屋中学,广东省湛江市吴川市661县道,,,湛江
湛江南调中学,广东省湛江市鸡咀山路,,,湛江
湛江调风中学,广东省湛江市雷州市289省道,,,湛江
湛江新寮中学,广东省湛江市新寮镇,,,湛江
湛江郑山中学,广东省湛江市吴川市285省道,,,湛江
湛江芷寮中学,广东省湛江市吴川市325国道,,,湛江
湛江塘尾中学,广东省湛江市吴川市373省道,,,湛江
雷州沈塘中学,广东省湛江市沈塘镇,,,湛江
湛江社山中学,广东省湛江市塘缀镇,,,湛江
湛江唐禄中学,广东省湛江市吴川市373省道,,,湛江
湛江西连中学,广东省湛江市西连镇,,,湛江
湛江东升中学,广东省湛江市石岭镇,,,湛江
湛江石埠中学,广东省湛江市塘缀镇,,,湛江
湛江贵生中学,广东省湛江市徐闻县城墙西路,,,湛江
湛江前山中学,广东省湛江市徐闻县289省道,,,湛江
湛江友好中学,广东省湛江市徐闻县文化路,,,湛江
湛江新勇中学,广东省湛江市吴阳新勇中学,,,湛江
湛江绿洲中学,广东省湛江市廉江市廉江市绿洲中学（524400）,,,湛江
廉江高桥中学,广东省湛江市廉江市325国道,,,湛江
湛江限口中学,湛江吴川市,,,湛江
湛江海安中学,广东省湛江市徐闻县207国道,,,湛江
调风中学,广东省湛江市调风镇,,,湛江
湛江博铺中学,,,,湛江
湛江勇士中学,,,,湛江
湛江遂城中学,,,,湛江
湛江岭北中学,,,,湛江
吴川县浅水中学,,,,湛江
湛江杨屋中学,,,,湛江
湛江中学,,,,湛江
湛江德威中学,,,,湛江
湛江港门中学,,,,湛江
雷州企水中学,,,,湛江
霞山职业中学,广东省湛江市录塘路63号,,,湛江
湛江沙洲中学,广东省湛江市吴川市661县道,,,湛江
振文中学,塘缀解放路,0759-5301391,,湛江
吴川吴阳中学,广东省湛江市吴阳城里村,0759-5560484,,湛江
湛江华港高级中学,赤坎区北桥路31号,0759-3109059,,湛江
湛江川西中学,吴川市黄坡镇,0759-5991351,,湛江
麻章区第一中学,麻章镇麻海路,07592708833,,湛江
雷州唐家中学,雷州市唐家中学,0759-8326177,,湛江
廉江良垌中学,广东省湛江市良垌镇,0759-6962527,,湛江
龙门第一中学,龙门镇龙门圩,07598533115,,湛江
雷州客路中学,广东省雷州市客路镇第一中学,(0759)-8132487,,湛江
东里中学,雷州市东里镇,07598965655,,湛江
附城第一中学,雷州市附城镇,07598813667,,湛江
徐闻县曲界中学,徐闻县曲界镇曲界中学,07594300454,,湛江
湛江师院实验学校,赤坎区寸宝路41号,07593182531,,湛江
湛江化工中学,霞山区工农路32号,07592333398,,湛江
湛江东海区中学,硇洲镇硇洲圩,07592909220,,湛江
湛江戊戌中学,遂溪县黄略镇戊戌中学,0759-7974033,,湛江
湛江城月中学,遂溪县城月中学,0759-7881264,,湛江
杨柑中学,遂溪县杨柑镇杨柑中学,0759-7321117,,湛江
湛江青平中学,青平镇教育路青平中学,0759-6300466,,湛江
湛江横山中学,横山镇缸瓦窑,0759-6797625,,湛江
湛江河唇中学,河唇镇河唇圩,0759-6458285,,湛江
湛江纪家中学,广东省雷州市纪家镇,07598297085,,湛江
湛江塘蓬中学,广东省湛江市廉江市287省道,0759-6168271,,湛江
湛江廉江第二中学,广东省湛江市廉江市黄村街7号,0759—6622452,,湛江
遂溪县第一中学,遂溪县遂城镇文明街5号,0759-7742153,,湛江
湛江霞山区职业高级中学,霞山区椹川大道东二路5号,,,湛江
湛江第一中学,广东省湛江市赤坎区平阳路,07593160292,,湛江
吴川第一中学,吴川市梅录镇解放中路56号,0759-5583032,,湛江
湛江农垦实验中学 ,广东省湛江市麻章正南街一号,0759-3307293,,湛江
湛江实验中学,广东省湛江市雷州市,,,湛江
廉江第一中学,,,,湛江
湛江麻章区第一中学,湛江市麻章开发区金川路,0759-2706518  2700203  2708833,,湛江
雷州第一中学,西湖大道9号,07598812485,,湛江
湛江雷州第二中学,广东省雷州市环城南30号,0759-8812734,,湛江
湛江第二十一中学,湛江市霞山建新东路12号,0759-2250276,,湛江
廉江营仔第二中学,,,,湛江
徐闻县第二中学,徐城镇东平三路,07594853407,,湛江
湛江雷州第三中学,大新北街1号,07598812737,,湛江
湛江第三职业高级中学,湛江农林一路19号,,,湛江
遂溪县第三中学,遂溪县第三中学,0759-7712281,,湛江
廉江育才职业高级中学,湛江廉城镇黄村街兴中路,,,湛江
湛江爱周专业高级中学,湛江和平路36号,,,湛江
廉江吉水职业高级中学,,,,湛江
湛江第十五职业高级中学,海棠路35号,,,湛江
雷州职业高级中学,,,,湛江
湛江港城第二中学,,,,湛江
湛江廉江第三中学,广东省湛江市廉江市廉城城北区,0759-6685800,,湛江
徐闻县第一中学,徐闻县宾朴路43号,07594897259,http://www.xuwenyz.com,湛江
王村港中学,,,,湛江
湛江第九中学,,,,湛江
吴川中山中学,广东省湛江市中山镇唐基村,,,湛江
吴川林屋中学,,,,湛江
吴川第四中学,,,,湛江
湛江爱周中学,广东省湛江市373省道,,,湛江
湛江龙头中学,,,,湛江
雷州第八中学,,,,湛江
雷州第六中学,,,,湛江
廉江廉江中学,,,,湛江
遂溪县大成中学,广东省湛江市中山路185号,0759-7763676,,湛江
遂溪新桥中学,,,,湛江
秦皇岛十二中学,,,,湛江
湛江硇洲中学,,,,湛江
湛江湖光中学,,,,湛江
湛江第六中学,湛江市霞山工农路22号,0759-2163076,,湛江
湛江第十五中学,,,,湛江
湛江二中港城中学,广东省湛江市海景路161号,,,湛江
湛江第四中学,椹川大道南71号,0759-2201462,,湛江
湛江第十一中学,,,,湛江
湛江第十中学,湛江市人民大道南71号,0759-2300258,,湛江
湛江太平中学,,,,湛江
吴川覃巴中学,,,,湛江
湛江开发区工贸职业中学,广东省湛江市人民大道中45号,,,湛江
廉江第五中学,廉江市环市西路,0759-6672582,,湛江
石岭中学,,,,湛江
廉江石岭中学,,,,湛江
遂溪县河头中学,,,,湛江
安铺中学,,,,湛江
湛江徐闻和安中学,,,,湛江
湛江田家炳实验中学,广东省湛江市赤坎区,,,湛江
雷州雷城中学,广东省湛江市雷州市群众大道24号,,,湛江
湛江张炎纪念中学,广东省湛江市塘缀镇,,,湛江
雷州附城中学,广东省湛江市雷州市黄雷公路,,,湛江
徐闻县徐城中学,,,,湛江
湛江第八中学,湛江市霞山区录塘路63号,0759-2625355,,湛江
徐闻县职业高级中学,广东省湛江市城墙路职业中学办公楼,,,湛江
湛江民安中学,广东省湛江市郊区民勤路,,,湛江
徐闻县立品中学,,,,湛江
吴川第三中学,梅录镇人民东路,0759-5553107,,湛江
廉江中学,广东省湛江市廉江市西街7号,0759-6603102,,湛江
湛江坡头区第一中学,湛江市坡头区灯塔路,07593956933,,湛江
徐闻县徐闻中学,广东省湛江市东方二路,0759-4888888,http://www.xuzhong.net,湛江
湛江第二中学,湛江市霞山区民治路134号,07592204106,http://www.gdzjez.com,湛江
吴川第二中学,广东省湛江市吴川市区海港大道旁,0759-5550444,,湛江
湛江林屋中学,中山林屋管区,0759-5890174,,湛江
遂溪县第二中学,遂城镇农林路143,0759-7780325,,湛江
湛江觉民中学,东山镇东山圩,07592965340,,湛江
湛江振兴中学,广东省湛江市赤坎区新景路,0759-3109925,,湛江
湛江第二十中学,湛江市霞山区海宁一横路2号,0759-2262566,,湛江
湛江第五中学,赤坎区康宁路4号,0759-3314031,,湛江
湛江农恳实验中学,,,,湛江
湛江一中外国语实验学校,,,,湛江
石角第二初级中学,,,,湛江
雷州纪家第二中学,,,,湛江
雷州东里第二中学,,,,湛江
湛江第三中学,,,,湛江
湛江师范学院附属中学,,,,湛江
湛江培才中学,,,,湛江
附城中学,,,,湛江
湛江西江中学,,,,湛江
湛江培才学校,,,,湛江
湛江桂头中学,,,,湛江
湛江佛子中学,,,,湛江
湛江漠南中学,,,,湛江
赤坎中学,,,,湛江
湛江上皇中学,,,,湛江
湛江琼崖中学,,,,湛江
湛江埔田中学,,,,湛江
湛江盈园中学,,,,湛江
湛江双滘中学,,,,湛江
湛江官渡中学,,,,湛江
雷州白沙中学,,,,湛江
界炮中学,,,,湛江
迈陈中学,,,,湛江
雷州中学,,,,湛江
廉江长山中学,,,,湛江
湛江第十六中学,友谊一横路3号,,,湛江
湛江城南中学,徐城工农路9号,,,湛江
湛江第七中学,幸福路65号,0759-6692459,,湛江
麻章区湖光中学,湖光镇铺仔圩,07592800391,,湛江
湛江师范附属中学,湛江市赤坎区寸金路27号,0759-3183578,http://www.zsfz.org,湛江
湛江河头中学,广东省湛江市遂溪县375省道,,,湛江
湛江长山中学,广东省湛江市长山镇,,,湛江
吴川城东中学,,,,湛江
雷州林业局雷林中学,,,,湛江
吴川川西中学,,,,湛江
湛江平城中学,,,,湛江
雷州龙门中学,湛江市龙门镇龙门乡圩新华路,,,湛江
湛江和安中学,,,,湛江
湛江二中海东中学,,,,湛江
湛江石岭中学,广东省湛江市石岭镇长青街,0759-6255355,,湛江
徐闻县迈陈中学,徐闻县迈陈镇迈陈中学,07594527315,,湛江
徐闻县锦和中学,广东省湛江市徐闻县376省道,,,湛江
湛江覃巴中学,广东省湛江市吴川市704县道,,,湛江
西平县完全中学,西平大道65号,,,驻马店
上蔡县第一高级中学,河南省驻马店市上蔡县文化路大寺巷36号,0396-6933346,,驻马店
柏城镇中学,龙泉大道156,,,驻马店
平舆县第一高级中学,河南省驻马店市平舆县建设街北段,0396-5027708,,驻马店
泌阳县板桥完全中学,泌阳县板桥镇,0396-7703324,http://xuexiao.chazidian...,驻马店
正阳县实验中学,,,,驻马店
驻马店市第一高级中学,驿城区解放路120号,0396-2625809,,驻马店
西平县盆尧第一初级中学,,,,驻马店
泌阳第一高级中学,泌阳县一高分校附近,0396-7928288,,驻马店
泌阳县第一初级中学,,,,驻马店
汝南县留盆镇第一初级中学,,,,驻马店
遂平县第一初级中学,,,,驻马店
泌水镇第一初级中学,,,,驻马店
驻马店市第二高级中学,,,,驻马店
上蔡县第二初级中学,,,,驻马店
泌阳第二高级中学,,,,驻马店
上蔡县和店乡初级中学,,,,驻马店
驻马店市第四初级中学,,,,驻马店
驻马店市第十一初级中学,,,,驻马店
平舆县第五初级中学,,,,驻马店
上蔡第二中学,,,,驻马店
平舆县第二中学,,,,驻马店
泌阳第一中学,,,,驻马店
平舆县第三高级中学,平舆县城富裕大道西段北侧,0396-5005333,http://xuexiao.chazidian...,驻马店
正阳县第二中学,,,,驻马店
驻马店市第八中学,,,,驻马店
汝南第一中学,,,,驻马店
韩集镇科达实验中学,,,,驻马店
驻马店实验中学,河南省驻马店市乐山路北段,,,驻马店
上蔡县实验中学,河南省上蔡县芦岗乡周庄村,0396-6951385,http://zhumadian.11467.c...,驻马店
汝南县实验中学,河南省驻马店市汝南县城西关机械厂北,0396-8032288,http://xuexiao.chazidian...,驻马店
驻马店外国语中学,驻马店驿城区,,,驻马店
遂平县第一中学,驻马店遂平县,,,驻马店
新蔡县第二高极中学,(驻马店)古吕镇东关,,,驻马店
上蔡县第二职业高级中学,河南省驻马店市上蔡县012县道,,,驻马店
正阳县第二职业中学,东环城二路,,,驻马店
驻马店市第三高级中学,河南省驻马店市驿城区,03962521466,,驻马店
驻马店市第五高级中学,练江路11号,,,驻马店
西平县酒店中学,酒店乡北街路西,,,驻马店
泌阳县太山中学,河南省驻马店市泌阳县004乡道,,,驻马店
化庄中学,河南省驻马店市新蔡县002县道,,,驻马店
新蔡县今是中学,南马道街,,,驻马店
朱古洞乡中学,河南省驻马店市朱古洞乡,,,驻马店
正阳县雷寨中学,河南省驻马店市正阳县007乡道,,,驻马店
芦庙中学,河南省驻马店市西平县022县道,,,驻马店
新蔡县体育中学,驻马店周潢路南段,,,驻马店
正阳县吕河中学,河南省驻马店市驻马店市辖区吕河街,,,驻马店
新蔡县余店中学,河南省驻马店市新蔡县004县道,,,驻马店
驻马店市第十四中学,河南省驻马店市驿城区中华大道,,,驻马店
和店中学,河南省驻马店市上蔡县005县道,,,驻马店
泌阳县光亚中学,河南省驻马店市泌阳县335省道,,,驻马店
平舆县蓝天中学,河南省驻马店市平舆县213省道,,,驻马店
芦岗城南中学,河南省驻马店市上蔡县350乡道,,,驻马店
平舆县光华中学,兴玉路,,,驻马店
孙召乡中学,河南省驻马店市驻马店市辖区孙召,,,驻马店
付寨中学,河南省驻马店市驻马店市辖区兰青街,,,驻马店
万鸡楼中学,驻马店上蔡县,,,驻马店
王岗镇中学,河南省驻马店市汝南县015县道,,,驻马店
遂平中学,河南省驻马店市遂平县028县道,,,驻马店
同中中学,河南省驻马店市驻马店市辖区同中街,,,驻马店
练村乡中学,河南省驻马店市练村镇,,,驻马店
汝南镇中学,河南省驻马店市驻马店市辖区汝南埠街,,,驻马店
平舆县实验中学,河南省驻马店市平舆县文化路,13608442104,,驻马店
驻马店开发区第一中学,驻马店市白桥路南段,,,驻马店
驻马店胡庙乡第一中学,,,,驻马店
驻马店市驿城区第一中学,,,,驻马店
西平县师灵镇第一中学,,,,驻马店
正阳县第一中学,,,,驻马店
西平县权寨镇第一中学,,,,驻马店
上蔡县黄埠镇第一中学,,,,驻马店
确山县第一中学,,,,驻马店
正阳县第一高级中学,,,,驻马店
驻马店五沟营镇第一中学,,,,驻马店
驻马店慎水乡第一中学,,,,驻马店
驻马店涧头乡第一职业技术中学,,,,驻马店
驻马店蔡沟乡第二初级中学,河南省上蔡县蔡沟乡蔡沟集西北处,0396-6671787,,驻马店
西平县权寨镇第二中学,,,,驻马店
上蔡县第二高级中学,上蔡县蔡都镇兴业路88号,0396-6922271,http://scxeg.30edu.com,驻马店
新蔡县第二高级中学,新蔡县古吕镇东关,0396-5922465,http://xuexiao.chazidian...,驻马店
驻马店赊湾乡第二中学,,,,驻马店
驻马店重渠乡第二中学,,,,驻马店
驻马店市驿城区第二中学,,,,驻马店
驻马店大林乡第二中学,,,,驻马店
上蔡县第三高级中学,河南省上蔡县洙湖镇,0396-6522294,http://xuexiao.chazidian...,驻马店
驻马店市驿城区第三中学,,,,驻马店
驻马店万冢乡三桥育才中学,,,,驻马店
驻马店杨屯乡成人教育技术学校,,,,驻马店
驻马店万冢职业学校,,,,驻马店
泌阳县泌水镇第二中学,,,,驻马店
汝南县和孝镇第二中学,,,,驻马店
驻马店后刘第三中学,,,,驻马店
汝南县留盆镇第二中学,,,,驻马店
汝南县马乡镇第二中学,,,,驻马店
驻马店后刘第一中学,,,,驻马店
驻马店罗店乡第一中学,,,,驻马店
汝南县留盆镇第一中学,,,,驻马店
驻马店罗店乡第三中学,,,,驻马店
驻马店马谷田镇第一中学,,,,驻马店
驻马店王店乡第二中学,,,,驻马店
汝南县马乡镇第一中学,,,,驻马店
驻马店新安店镇中学,,,,驻马店
驻马店五沟营镇第二中学,,,,驻马店
上蔡县华陂镇中字,,,,驻马店
驻马店马谷田镇第二中学,,,,驻马店
驻马店老君庙镇第二中学,,,,驻马店
驻马店诸市乡第二中学,,,,驻马店
驻马店常庄乡第二中学,,,,驻马店
汝南县和孝镇第一中学,,,,驻马店
汝南县金铺镇第二中学,,,,驻马店
汝南县金铺镇第一中学,,,,驻马店
驻马店老君庙镇第一中学,,,,驻马店
遂平县第二中学,,,,驻马店
驻马店文城乡文城乡中学,,,,驻马店
驻马店石寨卜第二中学,,,,驻马店
驻马店诸市乡第一中学,,,,驻马店
驻马店后周庄联合中学,,,,驻马店
驻马店罗店乡第二中学,,,,驻马店
驻马店和兴乡和兴乡第一中学,,,,驻马店
驻马店诸乡联合中学,,,,驻马店
上蔡县杨集镇联合中学,,,,驻马店
驻马店五龙乡联合中学,,,,驻马店
驻马店店镇教管站联合中学,,,,驻马店
驻马店韩寨乡联合中学,,,,驻马店
驻马店小岳寺乡联合中学,,,,驻马店
驻马店老乡联合中学,,,,驻马店
驻马店第四职业中学,,,,驻马店
驻马店万金店乡联合中学,,,,驻马店
确山县任店镇联合中学,,,,驻马店
西平县出山中学,,,,驻马店
上蔡县洙湖镇联合中学,,,,驻马店
驻马店三里河乡联合中学,,,,驻马店
驻马店乡联合中学,,,,驻马店
驻马店花园乡教管站联合中学,,,,驻马店
驻马店和店乡联合中学,,,,驻马店
驻马店东岸乡联合中学,,,,驻马店
驻马店芦岗乡联合中学,,,,驻马店
确山县竹沟镇联合中学,,,,驻马店
驻马店崇礼乡联合中学,,,,驻马店
驻马店石桥乡联合中学,,,,驻马店
驻马店邵店乡联合中学,,,,驻马店
驻马店齐海乡联合中学,,,,驻马店
驻马店无量寺乡联合中学,,,,驻马店
上蔡县朱里镇联合中学,,,,驻马店
驻马店杨屯乡联合中学,,,,驻马店
驻马店西洋店镇联合中学,,,,驻马店
驻马店百尺乡联合中学,,,,驻马店
驻马店王勿桥乡中学,,,,驻马店
上蔡县蔡都镇联合中学,,,,驻马店
驻马店东洪乡联合中学,,,,驻马店
驻马店蔡沟乡联合中学,,,,驻马店
驻马店西洪乡联合中学,,,,驻马店
驻马店槐树乡联合中学,,,,驻马店
驻马店大路李乡联合中学,,,,驻马店
驻马店香山乡香山中学,,,,驻马店
驻马店付寨乡中学,,,,驻马店
驻马店梁庙乡中学,,,,驻马店
驻马店雷寨乡中学,,,,驻马店
驻马店人和中学,,,,驻马店
驻马店三门闸乡天中山中学,,,,驻马店
驻马店现代学校,,,,驻马店
驻马店三门闸乡老房庄私立中学,,,,驻马店
确山县留庄镇中学,,,,驻马店
遂平县车站镇教管站中学,,,,驻马店
泌阳县泌水镇教管站中学,,,,驻马店
驻马店东皇庙乡得民学校,,,,驻马店
驻马店古城乡中学,,,,驻马店
驻马店文成中学,河南省驻马店市西平县柏城文成路,0396-6258800,,驻马店
驻马店武汉铁路分局铁路职工子弟中学,,,,驻马店
驻马店永兴乡中学,,,,驻马店
驻马店岳城乡中学,,,,驻马店
驻马店瓦岗乡中学,,,,驻马店
驻马店吕店中学,,,,驻马店
驻马店芦岗成人学校,,,,驻马店
驻马店成人学校,,,,驻马店
驻马店文城乡教管站中学,,,,驻马店
驻马店查牙山风景区中学,,,,驻马店
正阳县寒冻镇中学,,,,驻马店
驻马店石寨铺乡教管站中学,,,,驻马店
驻马店黄埔教管站中学,,,,驻马店
驻马店吕河乡中学,,,,驻马店
驻马店查岈山乡教管站中学,,,,驻马店
驻马店杨家集乡教管站中学,,,,驻马店
驻马店杨庄乡仪封中学,,,,驻马店
驻马店油坊店乡中学,,,,驻马店
驻马店第九中学,,,,驻马店
驻马店沈寨乡教育管理站中学,,,,驻马店
驻马店西洋店镇吴湾中学,,,,驻马店
驻马店阳丰乡中学,,,,驻马店
驻马店常庄乡教管站中学,,,,驻马店
正阳县真阳镇中学,,,,驻马店
驻马店重渠中学,,,,驻马店
驻马店褚堂乡教管站中学,,,,驻马店
驻马店皮店乡中学,,,,驻马店
驻马店艺术职业中等专业学校,,,,驻马店
驻马店化庄乡邹大庙中学,,,,驻马店
驻马店和兴乡教管站中学,,,,驻马店
驻马店兰青乡中学,,,,驻马店
正阳县陡沟镇中学,,,,驻马店
驻马店埠镇中学,,,,驻马店
驻马店张台乡教管站中学,,,,驻马店
驻马店王围孜中学,,,,驻马店
驻马店大林乡中学,,,,驻马店
驻马店彭桥乡中学,,,,驻马店
驻马店花庄乡教管站中学,,,,驻马店
驻马店崇德中学,,,,驻马店
新蔡县龙口镇教管站中学,,,,驻马店
正阳县铜钟镇中学,,,,驻马店
遂平县玉山镇教管站中学,,,,驻马店
汝南县第一高级中学,,,,驻马店
新蔡县第一高级中学,新蔡县新临路中段,0396-5973007,http://www.ruyile.com/sc...,驻马店
泌阳县第一高级中学,泌阳县城人民路北段,,http://xuexiao.chazidian...,驻马店
确山县第一高级中学,确山县盘龙镇,0396-7063828,http://xuexiao.chazidian...,驻马店
平舆县第二初级中学,,,,驻马店
确山县第二高级中学,,,,驻马店
正阳县第二高级中学,,,,驻马店
泌阳县第二高级中学,河南省泌阳县泌水镇青年路终端,03967922063,,驻马店
汝南县第二高级中学,汝南县城关察院街,,http://rneg.30edu.com,驻马店
汝南县金铺镇第二初级中学,,,,驻马店
驻马店市第二初级中学,,,,驻马店
驻马店老君庙镇初级中学,,,,驻马店
驻马店第九初级中学,,,,驻马店
驻马店第十八初级中学,,,,驻马店
驻马店第十二初级中学,,,,驻马店
驻马店石滚河初级中学,,,,驻马店
驻马店崇德初级中学,,,,驻马店
泌水第一中学,,,,驻马店
驻马店中学,,,,驻马店
西平县柏城中学,,,,驻马店
驻马店第十中学,,,,驻马店
驻马店市第四中学,,,,驻马店
驻马店第六中学,,,,驻马店
平舆第四中学,,,,驻马店
驻马店植保站,,,,驻马店
驻马店老君庙中学,,,,驻马店
驻马店新派朝阳实验中学,,,,驻马店
朱里镇实验中学,,,,驻马店
遂平县第一高级中学,遂平县玉带路,0396-4901888,http://xuexiao.chazidian...,驻马店
平舆县第二高级中学,建设街,,,驻马店
上蔡第二高级中学,,,,驻马店
遂平县第二高级中学,遂平县建设路62号,0396-4939711,http://xuexiao.chazidian...,驻马店
驻马店第四高级中学,,,,驻马店
